control_id,rule_id,channel,status,valid_draws,lower,upper
cqr_rolling,180min_3of18,availability_only,supported,2000,0.12502972629433629,0.1344055920736593
cqr_rolling,180min_3of18,combined,supported,2000,0.33451892597480576,0.43800079800489555
cqr_rolling,180min_3of18,numerical_only,supported,2000,0.22925245098039218,0.3245163608280384
cqr_rolling,30min_3of3,availability_only,supported,2000,0.10489807199828521,0.11514157562617991
cqr_rolling,30min_3of3,combined,supported,2000,0.37396918080403063,0.45161377864089114
cqr_rolling,30min_3of3,numerical_only,supported,2000,0.2800128599168563,0.35724298681854005
cqr_rolling,360min_4of36,availability_only,supported,2000,0.0589907604832978,0.0654530549303533
cqr_rolling,360min_4of36,combined,supported,2000,0.15861237215374618,0.24079813628032182
cqr_rolling,360min_4of36,numerical_only,supported,2000,0.12128501400560222,0.19747705255499254
cqr_rolling,60min_4of6,availability_only,supported,2000,0.0589907604832978,0.0654530549303533
cqr_rolling,60min_4of6,combined,supported,2000,0.26093607424809473,0.36123799358453057
cqr_rolling,60min_4of6,numerical_only,supported,2000,0.20979306382209145,0.3053337477020269
cqr_rolling,single_sample,availability_only,unavailable_valid_draw_or_degenerate,2000,,
cqr_rolling,single_sample,combined,supported,2000,0.6315760048685797,0.7350655075463022
cqr_rolling,single_sample,numerical_only,supported,2000,0.39354400644448523,0.5074581487184244
cqr_static,180min_3of18,availability_only,supported,2000,0.12502972629433629,0.1344055920736593
cqr_static,180min_3of18,combined,supported,2000,0.022964551295038826,0.3081279678736122
cqr_static,180min_3of18,numerical_only,supported,2000,0.02056551910151625,0.24407386166013986
cqr_static,30min_3of3,availability_only,supported,2000,0.10489807199828521,0.11514157562617991
cqr_static,30min_3of3,combined,supported,2000,0.237225548980506,0.4200780397882754
cqr_static,30min_3of3,numerical_only,supported,2000,0.4343416483708624,0.514567088443393
cqr_static,360min_4of36,availability_only,supported,2000,0.0589907604832978,0.0654530549303533
cqr_static,360min_4of36,combined,supported,2000,0.00021008403361344536,0.2074082390817962
cqr_static,360min_4of36,numerical_only,supported,2000,0.00021008403361344536,0.1711916459191325
cqr_static,60min_4of6,availability_only,supported,2000,0.0589907604832978,0.0654530549303533
cqr_static,60min_4of6,combined,supported,2000,0.17837823742550632,0.34341591245083886
cqr_static,60min_4of6,numerical_only,supported,2000,0.28126511099113277,0.37820579352142186
cqr_static,single_sample,availability_only,unavailable_valid_draw_or_degenerate,2000,,
cqr_static,single_sample,combined,supported,2000,0.26103825425036764,0.5848039598780709
cqr_static,single_sample,numerical_only,supported,2000,0.48533579197643617,0.6075478156626617
persistence_static,180min_3of18,availability_only,supported,2000,0.12502972629433629,0.1344055920736593
persistence_static,180min_3of18,combined,supported,2000,0.43525593374459265,0.5884744838757349
persistence_static,180min_3of18,numerical_only,supported,2000,0.29060305187310875,0.41613166242072647
persistence_static,30min_3of3,availability_only,supported,2000,0.10489807199828521,0.11514157562617991
persistence_static,30min_3of3,combined,supported,2000,0.17033133414656182,0.19280269657775886
persistence_static,30min_3of3,numerical_only,supported,2000,0.04866946778711484,0.0661764705882353
persistence_static,360min_4of36,availability_only,supported,2000,0.0589907604832978,0.0654530549303533
persistence_static,360min_4of36,combined,supported,2000,0.3065620198753361,0.43316619228233705
persistence_static,360min_4of36,numerical_only,supported,2000,0.193244078389014,0.2937576883590316
persistence_static,60min_4of6,availability_only,supported,2000,0.0589907604832978,0.0654530549303533
persistence_static,60min_4of6,combined,supported,2000,0.16588306546310086,0.19334143522950142
persistence_static,60min_4of6,numerical_only,supported,2000,0.08858543417366947,0.10644257703081231
persistence_static,single_sample,availability_only,unavailable_valid_draw_or_degenerate,2000,,
persistence_static,single_sample,combined,supported,2000,0.8967086834733894,0.9198179271708684
persistence_static,single_sample,numerical_only,supported,2000,0.6919485309379282,0.754501642889558
quantile_static,180min_3of18,availability_only,supported,2000,0.12502972629433629,0.1344055920736593
quantile_static,180min_3of18,combined,supported,2000,0.00740406383513001,0.14967412585328718
quantile_static,180min_3of18,numerical_only,supported,2000,0.007738240595383454,0.1499944513160402
quantile_static,30min_3of3,availability_only,supported,2000,0.10489807199828521,0.11514157562617991
quantile_static,30min_3of3,combined,supported,2000,0.19475342927161607,0.43290967301744043
quantile_static,30min_3of3,numerical_only,supported,2000,0.43790280823297695,0.5415483131382763
quantile_static,360min_4of36,availability_only,supported,2000,0.0589907604832978,0.0654530549303533
quantile_static,360min_4of36,combined,supported,2000,0.0,0.09335272866224793
quantile_static,360min_4of36,numerical_only,supported,2000,0.0,0.08784000906748318
quantile_static,60min_4of6,availability_only,supported,2000,0.0589907604832978,0.0654530549303533
quantile_static,60min_4of6,combined,supported,2000,0.1510581454163275,0.35008048096596034
quantile_static,60min_4of6,numerical_only,supported,2000,0.2606984959920721,0.40150502890911055
quantile_static,single_sample,availability_only,unavailable_valid_draw_or_degenerate,2000,,
quantile_static,single_sample,combined,supported,2000,0.23888122969873066,0.5577166554028296
quantile_static,single_sample,numerical_only,supported,2000,0.48772903230028153,0.6569196418540313
