model_seed,control_id,rule_id,channel,conditional_context_detection,restricted_ttd_equal_stratum_minutes,detected,misses,detected_delay_median_minutes,detected_delay_q90_minutes,supported_strata,original_eligible_rows,original_asset_days,background_episodes,background_episodes_per_asset_day,alert_rows,time_in_alert_days,fraction_time_in_alert
42,cqr_rolling,180min_3of18,availability_only,0.1299780213837644,99.3854099069868,357,2370,30.0,40.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
42,cqr_rolling,180min_3of18,combined,0.3750989810265443,81.18174001430553,1050,1677,30.0,50.0,21,9907,68.79861111111111,65,0.9447865145856464,1840,12.777777777777777,0.1857272635510245
42,cqr_rolling,180min_3of18,numerical_only,0.2693899144667601,89.80139279511285,765,1962,30.0,56.00000000000023,21,9907,68.79861111111111,65,0.9447865145856464,1840,12.777777777777777,0.1857272635510245
42,cqr_rolling,30min_3of3,availability_only,0.1098438320818269,100.8119051481722,307,2420,30.0,30.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
42,cqr_rolling,30min_3of3,combined,0.4173952209858636,77.41213254039448,1178,1549,30.0,50.0,21,9907,68.79861111111111,88,1.2790955889774906,584,4.055555555555555,0.058948218431412125
42,cqr_rolling,30min_3of3,numerical_only,0.3202482120362747,86.26735249583285,906,1821,30.0,60.0,21,9907,68.79861111111111,88,1.2790955889774906,584,4.055555555555555,0.058948218431412125
42,cqr_rolling,360min_4of36,availability_only,0.0625634927072711,105.22304529371775,172,2555,30.0,50.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
42,cqr_rolling,360min_4of36,combined,0.197378448459202,96.07182492156498,555,2172,40.0,50.0,21,9907,68.79861111111111,53,0.7703643888159887,2615,18.15972222222222,0.2639547794488745
42,cqr_rolling,360min_4of36,numerical_only,0.15555540029120019,99.28357930615465,442,2285,40.0,60.0,21,9907,68.79861111111111,53,0.7703643888159887,2615,18.15972222222222,0.2639547794488745
42,cqr_rolling,60min_4of6,availability_only,0.0625634927072711,105.22304529371775,172,2555,30.0,50.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
42,cqr_rolling,60min_4of6,combined,0.30398597019924123,88.66522409986058,856,1871,40.0,50.0,21,9907,68.79861111111111,60,0.872110628848289,752,5.222222222222222,0.0759059251034622
42,cqr_rolling,60min_4of6,numerical_only,0.24699140282329676,93.5132098345503,700,2027,40.0,80.0,21,9907,68.79861111111111,60,0.872110628848289,752,5.222222222222222,0.0759059251034622
42,cqr_rolling,single_sample,availability_only,0.2857142857142857,82.30504841862118,687,2040,10.0,30.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
42,cqr_rolling,single_sample,combined,0.6967007195480398,46.480817221437576,1866,861,10.0,60.0,21,9907,68.79861111111111,212,3.0814575552639547,910,6.319444444444444,0.0918542444736045
42,cqr_rolling,single_sample,numerical_only,0.46328844849101225,70.39868776436597,1304,1423,10.0,60.0,21,9907,68.79861111111111,212,3.0814575552639547,910,6.319444444444444,0.0918542444736045
42,cqr_static,180min_3of18,availability_only,0.1299780213837644,99.3854099069868,357,2370,30.0,40.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
42,cqr_static,180min_3of18,combined,0.16897140507728073,97.75020216555151,467,2260,30.0,80.0,21,9907,68.79861111111111,36,0.5232663773089734,7504,52.11111111111111,0.7574442313515695
42,cqr_static,180min_3of18,numerical_only,0.13353557273006542,100.9036482049017,375,2352,30.0,80.0,21,9907,68.79861111111111,36,0.5232663773089734,7504,52.11111111111111,0.7574442313515695
42,cqr_static,30min_3of3,availability_only,0.1098438320818269,100.8119051481722,307,2420,30.0,30.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
