action,units,total_wall_seconds,total_cpu_seconds,mean_wall_seconds,maximum_peak_working_set_bytes,minimum_disk_free_bytes
freeze,4,34.21558950000326,24.140625,8.553897375000815,415584256,105398370304
readiness,4,26.15997989999596,16.140625,6.53999497499899,389222400,105398505472
resume,4,1027.3325608999876,999.640625,256.8331402249969,737906688,99769982976
run,4,6981.6640625,5625.578125,1745.416015625,888811520,100752441344
validate,4,16643.226719800005,16064.796875,4160.806679950001,882892800,99569369088
verify,4,16.078177199990023,7.125,4.019544299997506,294842368,99769958400
