control_id,rule_id,channel,point,status,valid_draws,lower,upper
cqr_rolling,180min_3of18,availability_only,0.1299780213837644,supported,2000,0.12502972629433629,0.1344055920736593
cqr_rolling,180min_3of18,combined,0.3804783683427945,supported,2000,0.33451892597480576,0.43800079800489555
cqr_rolling,180min_3of18,numerical_only,0.26875966236591975,supported,2000,0.22925245098039218,0.3245163608280384
cqr_rolling,30min_3of3,availability_only,0.1098438320818269,supported,2000,0.10489807199828521,0.11514157562617991
cqr_rolling,30min_3of3,combined,0.40962877485517246,supported,2000,0.37396918080403063,0.45161377864089114
cqr_rolling,30min_3of3,numerical_only,0.31210641053955657,supported,2000,0.2800128599168563,0.35724298681854005
cqr_rolling,360min_4of36,availability_only,0.0625634927072711,supported,2000,0.0589907604832978,0.0654530549303533
cqr_rolling,360min_4of36,combined,0.1991141893973683,supported,2000,0.15861237215374618,0.24079813628032182
cqr_rolling,360min_4of36,numerical_only,0.1549197262454625,supported,2000,0.12128501400560222,0.19747705255499254
cqr_rolling,60min_4of6,availability_only,0.0625634927072711,supported,2000,0.0589907604832978,0.0654530549303533
cqr_rolling,60min_4of6,combined,0.3029107266689934,supported,2000,0.26093607424809473,0.36123799358453057
cqr_rolling,60min_4of6,numerical_only,0.2472736052565089,supported,2000,0.20979306382209145,0.3053337477020269
cqr_rolling,single_sample,availability_only,0.2857142857142857,unavailable_valid_draw_or_degenerate,2000,,
cqr_rolling,single_sample,combined,0.6892767051661677,supported,2000,0.6315760048685797,0.7350655075463022
cqr_rolling,single_sample,numerical_only,0.4563895391057136,supported,2000,0.39354400644448523,0.5074581487184244
cqr_static,180min_3of18,availability_only,0.1299780213837644,supported,2000,0.12502972629433629,0.1344055920736593
cqr_static,180min_3of18,combined,0.16760595542564855,supported,2000,0.022964551295038826,0.3081279678736122
cqr_static,180min_3of18,numerical_only,0.13277781829798763,supported,2000,0.02056551910151625,0.24407386166013986
cqr_static,30min_3of3,availability_only,0.1098438320818269,supported,2000,0.10489807199828521,0.11514157562617991
cqr_static,30min_3of3,combined,0.3248685923915316,supported,2000,0.237225548980506,0.4200780397882754
cqr_static,30min_3of3,numerical_only,0.463567628949698,supported,2000,0.4343416483708624,0.514567088443393
cqr_static,360min_4of36,availability_only,0.0625634927072711,supported,2000,0.0589907604832978,0.0654530549303533
cqr_static,360min_4of36,combined,0.10798717239978405,supported,2000,0.00021008403361344536,0.2074082390817962
cqr_static,360min_4of36,numerical_only,0.08742794408483705,supported,2000,0.00021008403361344536,0.1711916459191325
cqr_static,60min_4of6,availability_only,0.0625634927072711,supported,2000,0.0589907604832978,0.0654530549303533
cqr_static,60min_4of6,combined,0.2537191446176134,supported,2000,0.17837823742550632,0.34341591245083886
cqr_static,60min_4of6,numerical_only,0.3204778991414865,supported,2000,0.28126511099113277,0.37820579352142186
