control_id,rule_id,channel,family,severity,scheduled,effective,null,aliases,effective_contexts,supported,recall,misses,detected,detected_delay_median,detected_delay_q90,restricted_mean_detection_minutes,model_seed
cqr_rolling,180min_3of18,availability_only,random_missing,0.5,136,58,78,78,46,True,0.07608695652173914,54,4,35.0,47.0,104.23913043478261,42
cqr_rolling,180min_3of18,availability_only,random_missing,1.0,136,94,42,52,64,True,0.09375,84,10,45.0,50.0,103.75,42
cqr_rolling,180min_3of18,availability_only,random_missing,2.0,136,127,9,17,67,True,0.5597014925373134,56,71,40.0,50.0,69.1044776119403,42
cqr_rolling,180min_3of18,availability_only,block_missing,0.5,136,136,0,71,68,True,0.0,136,0,,,110.0,42
cqr_rolling,180min_3of18,availability_only,block_missing,1.0,136,136,0,70,68,True,1.0,0,136,30.0,30.0,30.0,42
cqr_rolling,180min_3of18,availability_only,block_missing,2.0,136,136,0,68,68,True,1.0,0,136,20.0,20.0,20.0,42
cqr_rolling,180min_3of18,availability_only,stuck,0.5,136,136,0,68,68,True,0.0,136,0,,,110.0,42
cqr_rolling,180min_3of18,availability_only,stuck,1.0,136,136,0,77,68,True,0.0,136,0,,,110.0,42
cqr_rolling,180min_3of18,availability_only,stuck,2.0,136,136,0,68,68,True,0.0,136,0,,,110.0,42
cqr_rolling,180min_3of18,availability_only,dropout,0.5,136,136,0,68,68,True,0.0,136,0,,,110.0,42
cqr_rolling,180min_3of18,availability_only,dropout,1.0,136,136,0,68,68,True,0.0,136,0,,,110.0,42
cqr_rolling,180min_3of18,availability_only,dropout,2.0,136,136,0,68,68,True,0.0,136,0,,,110.0,42
cqr_rolling,180min_3of18,availability_only,bias,0.5,136,136,0,0,68,True,0.0,136,0,,,110.0,42
cqr_rolling,180min_3of18,availability_only,bias,1.0,136,136,0,0,68,True,0.0,136,0,,,110.0,42
cqr_rolling,180min_3of18,availability_only,bias,2.0,136,136,0,0,68,True,0.0,136,0,,,110.0,42
cqr_rolling,180min_3of18,availability_only,level_shift,0.5,136,136,0,0,68,True,0.0,136,0,,,110.0,42
cqr_rolling,180min_3of18,availability_only,level_shift,1.0,136,136,0,0,68,True,0.0,136,0,,,110.0,42
cqr_rolling,180min_3of18,availability_only,level_shift,2.0,136,136,0,0,68,True,0.0,136,0,,,110.0,42
cqr_rolling,180min_3of18,availability_only,drift,0.5,136,136,0,0,68,True,0.0,136,0,,,110.0,42
cqr_rolling,180min_3of18,availability_only,drift,1.0,136,136,0,0,68,True,0.0,136,0,,,110.0,42
cqr_rolling,180min_3of18,availability_only,drift,2.0,136,136,0,0,68,True,0.0,136,0,,,110.0,42
cqr_rolling,180min_3of18,combined,random_missing,0.5,136,58,78,78,46,True,0.14130434782608695,48,10,45.0,110.0,102.3913043478261,42
cqr_rolling,180min_3of18,combined,random_missing,1.0,136,94,42,52,64,True,0.140625,80,14,40.0,77.00000000000001,102.03125,42
cqr_rolling,180min_3of18,combined,random_missing,2.0,136,127,9,17,67,True,0.4701492537313433,70,57,40.0,50.0,76.7910447761194,42
cqr_rolling,180min_3of18,combined,block_missing,0.5,136,136,0,71,68,True,0.08823529411764706,124,12,35.0,97.00000000000001,104.41176470588235,42
cqr_rolling,180min_3of18,combined,block_missing,1.0,136,136,0,70,68,True,0.8235294117647058,24,112,30.0,30.0,43.6764705882353,42
cqr_rolling,180min_3of18,combined,block_missing,2.0,136,136,0,68,68,True,0.8088235294117647,26,110,20.0,20.0,37.05882352941177,42
cqr_rolling,180min_3of18,combined,stuck,0.5,136,136,0,68,68,True,0.04411764705882353,130,6,40.0,80.0,107.20588235294117,42
cqr_rolling,180min_3of18,combined,stuck,1.0,136,136,0,77,68,True,0.04411764705882353,130,6,20.0,80.0,106.76470588235294,42
cqr_rolling,180min_3of18,combined,stuck,2.0,136,136,0,68,68,True,0.04411764705882353,130,6,80.0,90.0,107.79411764705883,42
cqr_rolling,180min_3of18,combined,dropout,0.5,136,136,0,68,68,True,0.8235294117647058,24,112,40.0,40.0,51.61764705882353,42
cqr_rolling,180min_3of18,combined,dropout,1.0,136,136,0,68,68,True,0.8235294117647058,24,112,30.0,30.0,43.6764705882353,42
cqr_rolling,180min_3of18,combined,dropout,2.0,136,136,0,68,68,True,0.8088235294117647,26,110,20.0,20.0,37.05882352941177,42
cqr_rolling,180min_3of18,combined,bias,0.5,136,136,0,0,68,True,0.15441176470588236,115,21,30.0,80.0,99.55882352941177,42
cqr_rolling,180min_3of18,combined,bias,1.0,136,136,0,0,68,True,0.3161764705882353,93,43,30.0,46.000000000000085,85.95588235294117,42
cqr_rolling,180min_3of18,combined,bias,2.0,136,136,0,0,68,True,0.4852941176470588,70,66,30.0,50.0,73.52941176470588,42
cqr_rolling,180min_3of18,combined,level_shift,0.5,136,136,0,0,68,True,0.19852941176470587,109,27,20.0,80.0,95.0,42
cqr_rolling,180min_3of18,combined,level_shift,1.0,136,136,0,0,68,True,0.34558823529411764,89,47,20.0,73.99999999999999,81.91176470588235,42
cqr_rolling,180min_3of18,combined,level_shift,2.0,136,136,0,0,68,True,0.5,68,68,20.0,70.0,69.8529411764706,42
cqr_rolling,180min_3of18,combined,drift,0.5,136,136,0,0,68,True,0.11764705882352941,120,16,50.0,100.0,104.26470588235294,42
cqr_rolling,180min_3of18,combined,drift,1.0,136,136,0,0,68,True,0.25735294117647056,101,35,50.0,70.0,94.26470588235294,42
cqr_rolling,180min_3of18,combined,drift,2.0,136,136,0,0,68,True,0.4411764705882353,76,60,40.0,60.0,80.0,42
cqr_rolling,180min_3of18,numerical_only,random_missing,0.5,136,58,78,78,46,True,0.043478260869565216,54,4,65.0,80.0,107.93478260869566,42
cqr_rolling,180min_3of18,numerical_only,random_missing,1.0,136,94,42,52,64,True,0.046875,89,5,50.0,80.0,107.265625,42
cqr_rolling,180min_3of18,numerical_only,random_missing,2.0,136,127,9,17,67,True,0.04477611940298507,122,5,50.0,78.0,107.76119402985074,42
cqr_rolling,180min_3of18,numerical_only,block_missing,0.5,136,136,0,71,68,True,0.04411764705882353,130,6,40.0,80.0,107.5,42
cqr_rolling,180min_3of18,numerical_only,block_missing,1.0,136,136,0,70,68,True,0.04411764705882353,130,6,50.0,80.0,107.6470588235294,42
cqr_rolling,180min_3of18,numerical_only,block_missing,2.0,136,136,0,68,68,True,0.029411764705882353,132,4,85.0,90.0,109.26470588235294,42
cqr_rolling,180min_3of18,numerical_only,stuck,0.5,136,136,0,68,68,True,0.04411764705882353,130,6,40.0,80.0,107.20588235294117,42
cqr_rolling,180min_3of18,numerical_only,stuck,1.0,136,136,0,77,68,True,0.04411764705882353,130,6,20.0,80.0,106.76470588235294,42
cqr_rolling,180min_3of18,numerical_only,stuck,2.0,136,136,0,68,68,True,0.04411764705882353,130,6,80.0,90.0,107.79411764705883,42
