control_id,rule_id,channel,conditional_context_detection,restricted_ttd_equal_stratum_minutes,supported_strata,minimum_original_contexts,status,status_inference,valid_draws,lower,upper,seed_mean_detection,seed_sd_detection,seed_min_detection,seed_max_detection,mean_restricted_ttd_minutes,mean_detected,mean_misses,mean_background_episodes_per_asset_day,mean_fraction_time_in_alert,mean_original_asset_days
cqr_rolling,180min_3of18,availability_only,0.1299780213837644,99.3854099069868,21,46,supported_point_estimate,supported,2000,0.12502972629433629,0.1344055920736593,0.1299780213837644,0.0,0.1299780213837644,0.1299780213837644,99.3854099069868,357.0,2370.0,0.0,0.0,68.79861111111111
cqr_rolling,180min_3of18,combined,0.38047836834279464,80.3290741101762,21,46,supported_point_estimate,supported,2000,0.33451892597480576,0.43800079800489555,0.3804783683427946,0.0041405239793974894,0.3750989810265443,0.38599420746559493,80.3290741101762,1060.4,1666.6,0.9564146563036235,0.1876047239325729,68.79861111111111
cqr_rolling,180min_3of18,numerical_only,0.26875966236591975,89.56737730783424,21,46,supported_point_estimate,supported,2000,0.22925245098039218,0.3245163608280384,0.26875966236591975,0.002671180829518303,0.2644879536824463,0.27184089485891694,89.56737730783422,763.2,1963.8,0.9564146563036235,0.1876047239325729,68.79861111111111
cqr_rolling,30min_3of3,availability_only,0.1098438320818269,100.8119051481722,21,46,supported_point_estimate,supported,2000,0.10489807199828521,0.11514157562617991,0.10984383208182688,0.0,0.1098438320818269,0.1098438320818269,100.8119051481722,307.0,2420.0,0.0,0.0,68.79861111111111
cqr_rolling,30min_3of3,combined,0.4096287748551725,77.93393966525612,21,46,supported_point_estimate,supported,2000,0.37396918080403063,0.45161377864089114,0.40962877485517246,0.006467749088089196,0.40162846652288436,0.4173952209858636,77.93393966525612,1155.8,1571.2,1.302351872413445,0.05848390027253456,68.79861111111111
cqr_rolling,30min_3of3,numerical_only,0.3121064105395565,86.68084302182912,21,46,supported_point_estimate,supported,2000,0.2800128599168563,0.35724298681854005,0.3121064105395565,0.006922840487074245,0.3037374099542478,0.3202482120362747,86.6808430218291,883.4,1843.6,1.302351872413445,0.05848390027253456,68.79861111111111
cqr_rolling,360min_4of36,availability_only,0.0625634927072711,105.22304529371775,21,46,supported_point_estimate,supported,2000,0.0589907604832978,0.0654530549303533,0.0625634927072711,0.0,0.0625634927072711,0.0625634927072711,105.22304529371775,172.0,2555.0,0.0,0.0,68.79861111111111
cqr_rolling,360min_4of36,combined,0.19911418939736827,95.96249985230952,21,46,supported_point_estimate,supported,2000,0.15861237215374618,0.24079813628032182,0.1991141893973683,0.0019027232576241248,0.19733370108263942,0.20158437523289657,95.9624998523095,560.4,2166.6,0.8023417785404259,0.26991016453013017,68.79861111111111
cqr_rolling,360min_4of36,numerical_only,0.1549197262454625,99.38656694832378,21,46,supported_point_estimate,supported,2000,0.12128501400560222,0.19747705255499254,0.15491972624546252,0.001276276923125277,0.15310441989904333,0.156255680403245,99.38656694832378,440.2,2286.8,0.8023417785404259,0.26991016453013017,68.79861111111111
cqr_rolling,60min_4of6,availability_only,0.0625634927072711,105.22304529371775,21,46,supported_point_estimate,supported,2000,0.0589907604832978,0.0654530549303533,0.0625634927072711,0.0,0.0625634927072711,0.0625634927072711,105.22304529371775,172.0,2555.0,0.0,0.0,68.79861111111111
cqr_rolling,60min_4of6,combined,0.3029107266689934,88.86832626463953,21,46,supported_point_estimate,supported,2000,0.26093607424809473,0.36123799358453057,0.3029107266689934,0.0030811838907263806,0.29867442393894617,0.30712677876147215,88.86832626463953,853.0,1874.0,0.9244372665791865,0.07582517411930957,68.79861111111111
cqr_rolling,60min_4of6,numerical_only,0.24727360525650882,93.63784163081196,21,46,supported_point_estimate,supported,2000,0.20979306382209145,0.3053337477020269,0.24727360525650885,0.003445454967294769,0.24349000226307266,0.2525988696906407,93.63784163081195,700.8,2026.2,0.9244372665791865,0.07582517411930957,68.79861111111111
cqr_rolling,single_sample,availability_only,0.2857142857142857,82.30504841862118,21,46,supported_point_estimate,unavailable_valid_draw_or_degenerate,2000,,,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,82.30504841862118,687.0,2040.0,0.0,0.0,68.79861111111111
cqr_rolling,single_sample,combined,0.6892767051661677,47.44595891568827,21,46,supported_point_estimate,supported,2000,0.6315760048685797,0.7350655075463022,0.6892767051661677,0.004973998361346849,0.6844405916162701,0.6967007195480398,47.44595891568828,1844.8,882.2,3.110527909558898,0.0918138689815282,68.79861111111111
cqr_rolling,single_sample,numerical_only,0.45638953910571367,71.60113256447939,21,46,supported_point_estimate,supported,2000,0.39354400644448523,0.5074581487184244,0.45638953910571367,0.0057966060404523925,0.4499883523331461,0.46328844849101225,71.6011325644794,1283.6,1443.4,3.110527909558898,0.0918138689815282,68.79861111111111
cqr_static,180min_3of18,availability_only,0.1299780213837644,99.3854099069868,21,46,supported_point_estimate,supported,2000,0.12502972629433629,0.1344055920736593,0.1299780213837644,0.0,0.1299780213837644,0.1299780213837644,99.3854099069868,357.0,2370.0,0.0,0.0,68.79861111111111
cqr_static,180min_3of18,combined,0.16760595542564852,97.6910783984262,21,46,supported_point_estimate,supported,2000,0.022964551295038826,0.3081279678736122,0.16760595542564852,0.0050386741826158885,0.1605475942810609,0.1746059816691115,97.69107839842621,462.8,2264.2,0.45349752700111023,0.7696174422125768,68.79861111111111
cqr_static,180min_3of18,numerical_only,0.1327778182979876,101.07034619899225,21,46,supported_point_estimate,supported,2000,0.02056551910151625,0.24407386166013986,0.1327778182979876,0.004556606356852269,0.1251322113855276,0.1373771158366007,101.07034619899225,371.2,2355.8,0.45349752700111023,0.7696174422125768,68.79861111111111
cqr_static,30min_3of3,availability_only,0.1098438320818269,100.8119051481722,21,46,supported_point_estimate,supported,2000,0.10489807199828521,0.11514157562617991,0.10984383208182688,0.0,0.1098438320818269,0.1098438320818269,100.8119051481722,307.0,2420.0,0.0,0.0,68.79861111111111
cqr_static,30min_3of3,combined,0.32486859239153154,91.15892524271227,21,46,supported_point_estimate,supported,2000,0.237225548980506,0.4200780397882754,0.3248685923915316,0.011118795009661736,0.3053362304525964,0.3327099232782016,91.15892524271227,911.0,1816.0,1.5407287776319774,0.6567073786211769,68.79861111111111
cqr_static,30min_3of3,numerical_only,0.463567628949698,86.4133013685682,21,46,supported_point_estimate,supported,2000,0.4343416483708624,0.514567088443393,0.46356762894969794,0.005665667005941241,0.4561223925813023,0.4708924918929285,86.4133013685682,1235.8,1491.2,1.5407287776319774,0.6567073786211769,68.79861111111111
cqr_static,360min_4of36,availability_only,0.0625634927072711,105.22304529371775,21,46,supported_point_estimate,supported,2000,0.0589907604832978,0.0654530549303533,0.0625634927072711,0.0,0.0625634927072711,0.0625634927072711,105.22304529371775,172.0,2555.0,0.0,0.0,68.79861111111111
cqr_static,360min_4of36,combined,0.10798717239978403,102.86104256757861,21,46,supported_point_estimate,supported,2000,0.00021008403361344536,0.2074082390817962,0.10798717239978406,0.010245477812935782,0.09472705776015793,0.12000468178835456,102.86104256757862,300.8,2426.2,0.2529120823660038,0.8058948218431411,68.79861111111111
cqr_static,360min_4of36,numerical_only,0.08742794408483705,104.57557844682324,21,46,supported_point_estimate,supported,2000,0.00021008403361344536,0.1711916459191325,0.08742794408483705,0.01106217259096464,0.077780085914963,0.10487830758520149,104.57557844682326,245.8,2481.2,0.2529120823660038,0.8058948218431411,68.79861111111111
cqr_static,60min_4of6,availability_only,0.0625634927072711,105.22304529371775,21,46,supported_point_estimate,supported,2000,0.0589907604832978,0.0654530549303533,0.0625634927072711,0.0,0.0625634927072711,0.0625634927072711,105.22304529371775,172.0,2555.0,0.0,0.0,68.79861111111111
cqr_static,60min_4of6,combined,0.2537191446176134,97.72391331613761,21,46,supported_point_estimate,supported,2000,0.17837823742550632,0.34341591245083886,0.2537191446176134,0.006133291518373791,0.24607600584036343,0.262613917646877,97.72391331613763,712.6,2014.4,1.1308367820732816,0.6768951246593318,68.79861111111111
cqr_static,60min_4of6,numerical_only,0.32047789914148656,96.9688307185301,21,46,supported_point_estimate,supported,2000,0.28126511099113277,0.37820579352142186,0.32047789914148656,0.006758433767425611,0.31303094729131103,0.33018447279950264,96.96883071853011,895.2,1831.8,1.1308367820732816,0.6768951246593318,68.79861111111111
cqr_static,single_sample,availability_only,0.2857142857142857,82.30504841862118,21,46,supported_point_estimate,unavailable_valid_draw_or_degenerate,2000,,,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,82.30504841862118,687.0,2040.0,0.0,0.0,68.79861111111111
cqr_static,single_sample,combined,0.4268844993383465,75.65514587161925,21,46,supported_point_estimate,supported,2000,0.26103825425036764,0.5848039598780709,0.42688449933834666,0.009836438337345004,0.4162866902925998,0.4408863723945126,75.65514587161925,1167.6,1559.4,2.7878469768850307,0.688664580599576,68.79861111111111
cqr_static,single_sample,numerical_only,0.5438944356133107,70.00277192317549,21,46,supported_point_estimate,supported,2000,0.48533579197643617,0.6075478156626617,0.5438944356133109,0.0058534661192533605,0.5362168593913881,0.5521358486613334,70.0027719231755,1453.6,1273.4,2.7878469768850307,0.688664580599576,68.79861111111111
persistence_static,180min_3of18,availability_only,0.1299780213837644,99.3854099069868,21,46,supported_point_estimate,supported,2000,0.12502972629433629,0.1344055920736593,0.1299780213837644,0.0,0.1299780213837644,0.1299780213837644,99.3854099069868,357.0,2370.0,0.0,0.0,68.79861111111111
persistence_static,180min_3of18,combined,0.5127071330641277,74.2951146430344,21,46,supported_point_estimate,supported,2000,0.43525593374459265,0.5884744838757349,0.5127071330641276,0.0,0.5127071330641276,0.5127071330641276,74.29511464303437,1412.0,1315.0,0.8139699202584032,0.06258201271828,68.79861111111111
persistence_static,180min_3of18,numerical_only,0.35394442088970557,88.61295260316976,21,46,supported_point_estimate,supported,2000,0.29060305187310875,0.41613166242072647,0.3539444208897056,0.0,0.3539444208897056,0.3539444208897056,88.61295260316975,998.0,1729.0,0.8139699202584032,0.06258201271828,68.79861111111111
persistence_static,30min_3of3,availability_only,0.1098438320818269,100.8119051481722,21,46,supported_point_estimate,supported,2000,0.10489807199828521,0.11514157562617991,0.10984383208182688,0.0,0.1098438320818269,0.1098438320818269,100.8119051481722,307.0,2420.0,0.0,0.0,68.79861111111111
