scope,control_id,target,seeds,mean_streams,total_n,total_unavailable_n,mean_coverage,seed_sd_coverage,mean_mpiw,mean_winkler
all_scheduled_fault_slots,cqr_rolling,clean_counterfactual,5,2856.0,2056320.0,0.0,0.7414536647992531,0.006197233219975771,7.954469211609556,23.99908959526818
all_scheduled_fault_slots,cqr_rolling,corrupted_observation,5,2856.0,2045970.0,10350.0,0.7367014179093536,0.006234909258942305,7.951117546160913,26.105592489978484
all_scheduled_fault_slots,cqr_static,clean_counterfactual,5,2856.0,2056320.0,0.0,0.313031045751634,0.01102329782692689,3.518881771179186,55.25241965695817
all_scheduled_fault_slots,cqr_static,corrupted_observation,5,2856.0,2045970.0,10350.0,0.3147890731535653,0.010878767366437841,3.519469176324146,57.45624064369075
all_scheduled_fault_slots,persistence_static,clean_counterfactual,5,2856.0,2056320.0,0.0,0.9469878229069405,0.0,1.599999999999994,7.152560692693742
all_scheduled_fault_slots,persistence_static,corrupted_observation,5,2856.0,2045970.0,10350.0,0.9552657174836385,0.0,1.5999999999999943,4.614070310317355
all_scheduled_fault_slots,quantile_static,clean_counterfactual,5,2856.0,2056320.0,0.0,0.20624319172113287,0.023197052868488454,2.8024571374511447,76.14767635565282
all_scheduled_fault_slots,quantile_static,corrupted_observation,5,2856.0,2045970.0,10350.0,0.2083520286221206,0.02311866883700044,2.8030445425961044,78.16583674899778
effective_fault_slots,cqr_rolling,clean_counterfactual,5,2727.0,1963440.0,0.0,0.7412490323106384,0.006159889516998993,7.957803715038226,24.02708658557725
effective_fault_slots,cqr_rolling,corrupted_observation,5,2727.0,1953090.0,10350.0,0.7362697059531307,0.006198727633327572,7.954310330274865,26.233913458040956
effective_fault_slots,cqr_static,clean_counterfactual,5,2727.0,1963440.0,0.0,0.31309436499205473,0.010945567987308053,3.5219120817378737,55.292946337161524
effective_fault_slots,cqr_static,corrupted_observation,5,2727.0,1953090.0,10350.0,0.3149363316590633,0.01079399505022596,3.522543479686108,57.601785702149996
effective_fault_slots,persistence_static,clean_counterfactual,5,2727.0,1963440.0,0.0,0.9462041111518559,0.0,1.599999999999994,7.399953960192313
effective_fault_slots,persistence_static,corrupted_observation,5,2727.0,1953090.0,10350.0,0.9548715112974826,0.0,1.599999999999994,4.74205563123051
effective_fault_slots,quantile_static,clean_counterfactual,5,2727.0,1963440.0,0.0,0.20650134457890235,0.02308664937489905,2.805487448009832,76.18229279236796
effective_fault_slots,quantile_static,corrupted_observation,5,2727.0,1953090.0,10350.0,0.2087118361161032,0.023004330409488096,2.8061188459580664,78.29661107779872
fullstream_clean,cqr_rolling,clean_counterfactual,5,1.0,49535.0,0.0,0.9081861310184717,0.000932249915334078,9.191506009813335,10.591181603829686
fullstream_clean,cqr_rolling,corrupted_observation,5,1.0,49535.0,0.0,0.9081861310184717,0.000932249915334078,9.191506009813335,10.591181603829686
fullstream_clean,cqr_static,clean_counterfactual,5,1.0,49535.0,0.0,0.311335419400424,0.011747247511497614,3.443764490397816,54.796975395461075
fullstream_clean,cqr_static,corrupted_observation,5,1.0,49535.0,0.0,0.311335419400424,0.011747247511497614,3.443764490397816,54.796975395461075
fullstream_clean,persistence_static,clean_counterfactual,5,1.0,49535.0,0.0,0.965176138084183,0.0,1.599999999999994,1.9044312102553735
fullstream_clean,persistence_static,corrupted_observation,5,1.0,49535.0,0.0,0.965176138084183,0.0,1.599999999999994,1.9044312102553735
fullstream_clean,quantile_static,clean_counterfactual,5,1.0,49535.0,0.0,0.20506712425557688,0.024115971653441762,2.727339856669775,75.737469865995
fullstream_clean,quantile_static,corrupted_observation,5,1.0,49535.0,0.0,0.20506712425557688,0.024115971653441762,2.727339856669775,75.737469865995
identity,cqr_rolling,clean_counterfactual,5,68.0,48960.0,0.0,0.7451593137254902,0.006451872571962577,7.839898102362992,23.19411550218993
identity,cqr_rolling,corrupted_observation,5,68.0,48960.0,0.0,0.7451593137254902,0.006451872571962577,7.839898102362992,23.19411550218993
identity,cqr_static,clean_counterfactual,5,68.0,48960.0,0.0,0.31499183006535947,0.011885210487786665,3.442767386990435,54.39055613670753
identity,cqr_static,corrupted_observation,5,68.0,48960.0,0.0,0.31499183006535947,0.011885210487786665,3.442767386990435,54.39055613670753
identity,persistence_static,clean_counterfactual,5,68.0,48960.0,0.0,0.964767156862745,0.0,1.5999999999999945,1.9080065359477103
identity,persistence_static,corrupted_observation,5,68.0,48960.0,0.0,0.964767156862745,0.0,1.5999999999999945,1.9080065359477103
identity,quantile_static,clean_counterfactual,5,68.0,48960.0,0.0,0.20747549019607842,0.024399196402231167,2.7263427532623936,75.24227781360125
identity,quantile_static,corrupted_observation,5,68.0,48960.0,0.0,0.20747549019607842,0.024399196402231167,2.7263427532623936,75.24227781360125
