left,right,n_left,n_right,left_origin_min,left_origin_max,left_target_max,right_origin_min,right_origin_max,right_target_min,right_target_max,target_overlap_count,row_overlap_count,shared_groups,run_intersections,left_membership_sha256,right_membership_sha256
fit,calibration,11407,3927,2023-07-26 15:24:00,2023-08-07 22:30:00,2023-08-07 23:00:00,2023-08-07 23:24:00,2023-08-12 02:30:00,2023-08-07 23:54:00,2023-08-12 03:00:00,0,0,,0,3d3d4fbb4d8f672ec67c556a83ae19646d5a6de50b7cef115aeeb5cfb30d6489,1342cd8dc9aab44620a5efca7a56fe3be333047033313391a9fdd3a20a8b7ca6
calibration,test,3927,7667,2023-08-07 23:24:00,2023-08-12 02:30:00,2023-08-12 03:00:00,2023-08-12 07:24:00,2024-02-04 10:30:00,2023-08-12 07:54:00,2024-02-04 11:00:00,0,0,,0,1342cd8dc9aab44620a5efca7a56fe3be333047033313391a9fdd3a20a8b7ca6,4290f7193c9add8034e3beb246e9dc5ec1c5c7bc64043a75f4aef0370f2da91a
inner0_train,inner0_validation,3740,3740,2023-07-26 15:24:00,2023-07-30 22:30:00,2023-07-30 23:00:00,2023-07-30 23:24:00,2023-08-03 22:30:00,2023-07-30 23:54:00,2023-08-03 23:00:00,0,0,,0,198603de0d21c28b727a91bb36f1d71531516714d0ef322aad814988637b63aa,1587766cd9a1b662669f11a62c95e7d2fd19b24001ef93ceaa6cfb25ca8059b0
inner1_train,inner1_validation,7480,3927,2023-07-26 15:24:00,2023-08-03 22:30:00,2023-08-03 23:00:00,2023-08-03 23:24:00,2023-08-07 22:30:00,2023-08-03 23:54:00,2023-08-07 23:00:00,0,0,,0,e8aa89ac449919910789c941c06679a8faba7d42a3be6a5e7d1c598619b933ac,0c1086ba100d4a63d10c3054ddcf3d1803ca6464fc6960b4acbf90b625f25618
