model,mae,rmse,n,negative_predictions,verified
persistence,0.12998936988997678,0.25754481604675455,9907,0,True
xgboost,0.1254933455089778,0.2422463442618014,9907,0,True
attention_lstm,0.15451762760950166,0.2640665501880576,9907,0,True
