dataset,outer_fold,model_seed,horizon,level,method,support,n,coverage,signed_coverage_deviation,absolute_coverage_deviation,mpiw,winkler,mae,rmse,sum_absolute_error,sum_squared_error,sum_width,sum_winkler,covered_count,available_count,unavailable_count,raw_crossed,status
bdg2,2,42,1,0.9,quantile_uncalibrated,common,34590,0.8305868748193119,-0.0694131251806881,0.0694131251806881,68.44616305956349,118.82976797306306,17.24601941686474,35.677143339093455,596539.8116293513,44028177.48103405,2367552.780230301,4110321.674188251,28730,34590,0,0,complete
bdg2,2,42,1,0.9,cqr,common,34590,0.8802544087886672,-0.01974559121133279,0.01974559121133279,72.96545576111974,117.63860541584597,17.24601941686474,35.677143339093455,596539.8116293513,44028177.48103405,2523875.114777132,4069119.361334112,30448,34590,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,common,34590,0.8993639780283319,-0.0006360219716681215,0.0006360219716681215,100.45161294555695,183.8901367450398,23.022251031309622,38.373127550490096,796339.6631729999,50933668.39383384,3474621.2917868146,6360759.830010926,31109,34590,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_updated,common,34590,0.9018502457357618,0.0018502457357617574,0.0018502457357617574,85.19835601303845,133.73855846808326,23.022251031309622,38.373127550490096,796339.6631729999,50933668.39383384,2947011.134491,4626016.737411,31195,34590,0,0,complete
bdg2,2,42,1,0.9,dscp,common,34590,0.8995952587453021,-0.00040474125469791566,0.00040474125469791566,82.46142362635659,151.65588317403416,17.76137686400313,34.975072596378595,614366.0257258682,42312414.77098835,2852340.6432356746,5245776.998989842,31117,34590,0,0,complete
bdg2,2,42,1,0.95,quantile_uncalibrated,common,34590,0.8861520670714079,-0.06384793292859203,0.06384793292859203,89.47637662328131,154.58133505526388,17.24601941686474,35.677143339093455,596539.8116293513,44028177.48103405,3094987.8673993004,5346968.379561578,30652,34590,0,0,complete
bdg2,2,42,1,0.95,cqr,common,34590,0.949956634865568,-4.3365134431927466e-05,4.3365134431927466e-05,97.84011620283482,152.50229839028248,17.24601941686474,35.677143339093455,596539.8116293513,44028177.48103405,3384289.6194560565,5275054.501319871,32859,34590,0,0,complete
bdg2,2,42,1,0.95,recentred_enbpi_static,common,34590,0.9460826828563168,-0.003917317143683152,0.003917317143683152,143.6022724609375,246.89058281621953,23.022251031309622,38.373127550490096,796339.6631729999,50933668.39383384,4967202.604423828,8539945.259613033,32725,34590,0,0,complete
bdg2,2,42,1,0.95,recentred_enbpi_updated,common,34590,0.9506504770164788,0.000650477016478801,0.000650477016478801,117.02237182674185,168.8689630149465,23.022251031309622,38.373127550490096,796339.6631729999,50933668.39383384,4047803.841487,5841177.430686999,32883,34590,0,0,complete
bdg2,2,42,1,0.95,dscp,common,34590,0.9462850534836658,-0.0037149465163341944,0.0037149465163341944,116.16013309522437,202.51988422976092,17.76137686400313,34.975072596378595,614366.0257258682,42312414.77098835,4017979.0037638107,7005162.79550743,32732,34590,0,0,complete
bdg2,2,42,3,0.9,quantile_uncalibrated,common,34590,0.8167389418907198,-0.0832610581092802,0.0832610581092802,99.36716142915263,173.432803624869,26.3213575814522,54.53254764300404,910455.7587424316,102863698.8467787,3437110.1138343895,5999040.677384218,28251,34590,0,0,complete
bdg2,2,42,3,0.9,cqr,common,34590,0.869615495808037,-0.030384504191963035,0.030384504191963035,105.99554162598687,170.94668892293623,26.3213575814522,54.53254764300404,910455.7587424316,102863698.8467787,3666385.784842886,5913045.969844365,30080,34590,0,0,complete
bdg2,2,42,3,0.9,recentred_enbpi_static,common,34590,0.9051459959525875,0.005145995952587468,0.005145995952587468,153.85374300130206,271.76009902187064,32.01932735625904,55.99832956618688,1107548.5332530001,108467768.70229146,5321800.970415038,9400181.825166505,31309,34590,0,0,complete
bdg2,2,42,3,0.9,recentred_enbpi_updated,common,34590,0.9085573865278982,0.00855738652789817,0.00855738652789817,131.750959841804,195.75408390945358,32.01932735625904,55.99832956618688,1107548.5332530001,108467768.70229146,4557265.700928,6771133.762428,31427,34590,0,0,complete
bdg2,2,42,3,0.9,dscp,common,34590,0.8959814975426423,-0.004018502457357687,0.004018502457357687,120.91777487298654,227.72092818543138,26.96804148888706,52.11602673177434,932824.5551006034,93949215.58139974,4182545.8328566044,7876866.905934071,30992,34590,0,0,complete
bdg2,2,42,3,0.95,quantile_uncalibrated,common,34590,0.8699045967042498,-0.08009540329575016,0.08009540329575016,123.2076009486956,223.06211914423284,26.3213575814522,54.53254764300404,910455.7587424316,102863698.8467787,4261750.916815381,7715718.701199014,30090,34590,0,0,complete
bdg2,2,42,3,0.95,cqr,common,34590,0.9513732292570107,0.0013732292570107774,0.0013732292570107774,137.87931436563667,217.71774869378604,26.3213575814522,54.53254764300404,910455.7587424316,102863698.8467787,4769245.483907373,7530856.927318059,32908,34590,0,0,complete
bdg2,2,42,3,0.95,recentred_enbpi_static,common,34590,0.9492917028042787,-0.0007082971957212969,0.0007082971957212969,217.7197636718749,365.26405918499495,32.01932735625904,55.99832956618688,1107548.5332530001,108467768.70229146,7530926.625410153,12634483.807208976,32836,34590,0,0,complete
bdg2,2,42,3,0.95,recentred_enbpi_updated,common,34590,0.9533102052616363,0.0033102052616363897,0.0033102052616363897,172.38228296542354,244.7718434834923,32.01932735625904,55.99832956618688,1107548.5332530001,108467768.70229146,5962703.167774,8466658.066093998,32975,34590,0,0,complete
bdg2,2,42,3,0.95,dscp,common,34590,0.9492338826250362,-0.0007661173749637928,0.0007661173749637928,175.96209224556137,306.39889852226946,26.96804148888706,52.11602673177434,932824.5551006034,93949215.58139974,6086528.770773968,10598337.8998853,32834,34590,0,0,complete
bdg2,2,42,6,0.9,quantile_uncalibrated,common,34590,0.8041919629950853,-0.09580803700491469,0.09580803700491469,116.992188719821,214.5173408256027,32.135096747989174,69.10901058309221,1111552.9965129455,165203754.341141,4046759.8078186084,7420154.819157598,27817,34590,0,4,complete
bdg2,2,42,6,0.9,cqr,common,34590,0.8881468632552761,-0.01185313674472388,0.01185313674472388,128.6839918145955,210.75781554583892,32.135096747989174,69.10901058309221,1111552.9965129455,165203754.341141,4451179.276866858,7290112.839730568,30721,34590,0,4,complete
bdg2,2,42,6,0.9,recentred_enbpi_static,common,34590,0.9065336802544088,0.0065336802544088135,0.0065336802544088135,186.57001865641269,331.66551143607677,37.86660392723331,69.07324026955278,1309805.829843,165032782.11299038,6453456.945325315,11472310.040573895,31357,34590,0,0,complete
bdg2,2,42,6,0.9,recentred_enbpi_updated,common,34590,0.8966464296039318,-0.003353570396068206,0.003353570396068206,158.43601364645852,240.34652320586875,37.86660392723331,69.07324026955278,1309805.829843,165032782.11299038,5480301.712031,8313586.237691,31015,34590,0,0,complete
bdg2,2,42,6,0.9,dscp,common,34590,0.8886961549580804,-0.011303845041919613,0.011303845041919613,145.90802334064776,291.21971959033186,34.15249071639632,66.7861956998188,1181334.6538801487,154285095.42812502,5046958.527353006,10073290.10062958,30740,34590,0,0,complete
bdg2,2,42,6,0.95,quantile_uncalibrated,common,34590,0.8687771032090199,-0.08122289679098005,0.08122289679098005,146.43385449597298,273.75271381836455,32.135096747989174,69.10901058309221,1111552.9965129455,165203754.341141,5065147.027015706,9469106.37097723,30051,34590,0,0,complete
bdg2,2,42,6,0.95,cqr,common,34590,0.9567794160161897,0.006779416016189699,0.006779416016189699,173.04475456392763,268.3182470367776,32.135096747989174,69.10901058309221,1111552.9965129455,165203754.341141,5985618.060366256,9281128.165002137,33095,34590,0,0,complete
bdg2,2,42,6,0.95,recentred_enbpi_static,common,34590,0.951199768719283,0.0011997687192830675,0.0011997687192830675,272.98175463867176,448.9487669065017,37.86660392723331,69.07324026955278,1309805.829843,165032782.11299038,9442438.892951656,15529137.847295893,32902,34590,0,0,complete
bdg2,2,42,6,0.95,recentred_enbpi_updated,common,34590,0.9479618386816999,-0.0020381613183000358,0.0020381613183000358,210.13982349395778,299.2679531406764,37.86660392723331,69.07324026955278,1309805.829843,165032782.11299038,7268736.494655999,10351678.499135997,32790,34590,0,0,complete
