model,mae,rmse,n,negative_predictions,verified
persistence,0.3915918037751086,0.5655364111359953,9907,0,True
xgboost,3.5233621233994703,3.9173721260654064,9907,0,True
attention_lstm,3.7605450324553997,4.086237381599427,9907,0,True
