dataset,horizon,outer_fold,model_seed,model,estimator_class,payload_seed,fit_record_seeds,source_hash,protocol_hash,source_run,passed,seed_variability,actual_wrapper_random_state,actual_booster_seed,actual_n_jobs,serialized_training_seed,rng_paths
pleia,6,2,45,persistence,src.pilot_forecasters.Persistence,45,[],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7b3af2e5082254e020ca867fb95d22cc2dc6b99331e9a1c7f86c6a385461bbeb,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s45_v1,True,deterministic baseline alias on identical targets; not an independent replicate,,,,,
pleia,6,2,45,xgboost,xgboost.sklearn.XGBRegressor,45,[45],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7b3af2e5082254e020ca867fb95d22cc2dc6b99331e9a1c7f86c6a385461bbeb,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s45_v1,True,,45.0,45.0,1.0,,
pleia,6,2,45,attention_lstm,src.attention_lstm.AttentionLSTM,45,[45],cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7b3af2e5082254e020ca867fb95d22cc2dc6b99331e9a1c7f86c6a385461bbeb,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s45_v1,True,,,,,45.0,verified unchanged set_determinism NumPy/Torch and torch.Generator manual_seed path; actual fit and artifact seeds match
