epoch,train_mse,validation_mae
1,0.5225937599473262,1.4664250245111148
2,0.1519439431572129,1.158073987888604
3,0.12960204405504186,1.131185536353291
4,0.12094257029693936,1.0717456815508748
5,0.11372672600962187,1.0390338261472885
6,0.10778641760920948,1.0244732490397053
7,0.0966973390905981,0.9474810338682264
8,0.08192922891931423,0.903305785801602
9,0.06918779094522497,0.8433967494627612
10,0.06134002554385064,0.8246725288056052
11,0.056936511030286206,0.8338646697612918
12,0.05293934558006262,0.7390338952971011
13,0.0485290757081895,0.7272640244639444
14,0.04635759608040609,0.7530964926960853
15,0.04328225997005341,0.6723846907521788
16,0.04224661839002314,0.6964506721592864
17,0.041912540733994766,0.6867403329447747
18,0.039359618400696975,0.6832164791748416
19,0.037643592126182325,0.6583962718842308
20,0.03588067739374526,0.6395757578503659
21,0.0351006647275741,0.6429363354331974
22,0.035392250031127524,0.6077530266743967
23,0.03279946683551072,0.6114430137838396
24,0.03259928611373733,0.5956237080866251
25,0.03132492054981574,0.5845997813733643
26,0.031202620900471604,0.5850698492829094
27,0.029402501521381026,0.5723186648126687
28,0.02924487582891653,0.569801797399853
29,0.02790077816053721,0.5745982481192484
30,0.027594910475911064,0.5644140198855374
