role,n,maximum_prediction_difference,owner_sha256
calibration,17360,0.0,d28b3e56470c39d4d54cfa16318301b8386c6c928491996aad0e6e82094fd373
test,34640,0.0,d28b3e56470c39d4d54cfa16318301b8386c6c928491996aad0e6e82094fd373
