dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,new_batch_unit,model,group_id,nominal_level,aggregation,n,mae,rmse,coverage,mpiw,winkler,negative_points,negative_lower_bounds,phase,historical_training_use
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,persistence,P4S6,0.9,"within original group, sample weighted",157,0.22929936305732476,0.2766956984742266,1.0,3.600000000000002,3.600000000000002,0,0,4.0,True
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,persistence,P4S7,0.9,"within original group, sample weighted",157,0.5388535031847131,0.6528721453826625,1.0,3.600000000000002,3.600000000000002,0,0,4.0,True
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,persistence,P4S8,0.9,"within original group, sample weighted",157,0.102547770700637,0.1713565211039277,1.0,3.600000000000002,3.600000000000002,0,0,4.0,True
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,persistence,P4S9,0.9,"within original group, sample weighted",157,0.6898089171974522,1.0462246351817313,0.89171974522293,3.600000000000002,5.319745222929938,0,0,4.0,True
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,persistence,P4S10,0.9,"within original group, sample weighted",157,0.21337579617834396,0.3054702962823524,1.0,3.600000000000002,3.600000000000002,0,0,4.0,True
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,persistence,P4S11,0.9,"within original group, sample weighted",157,0.1445859872611462,0.20362948743457113,1.0,3.600000000000002,3.600000000000002,0,0,4.0,True
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,persistence,P4S12,0.9,"within original group, sample weighted",157,1.0528662420382164,1.228198411324334,0.8598726114649682,3.600000000000002,5.039490445859873,0,0,4.0,True
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,persistence,P4S13,0.9,"within original group, sample weighted",157,1.5528662420382167,1.7700984175020642,0.6751592356687898,3.600000000000002,8.963057324840761,0,0,4.0,True
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,persistence,P4S14,0.9,"within original group, sample weighted",157,0.5573248407643312,0.5682132012178321,1.0,3.600000000000002,3.600000000000002,0,0,4.0,True
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,persistence,P4S15,0.9,"within original group, sample weighted",157,0.8961783439490447,1.1255288919544464,0.8726114649681529,3.600000000000002,5.026751592356688,0,0,4.0,True
