role,n,maximum_prediction_difference,owner_sha256
calibration,17360,0.0,50af119a2e675eba34dd50fdbe6f88b8f7ce08c4b2e4cde6a866b5c505c1145f
test,34640,0.0,50af119a2e675eba34dd50fdbe6f88b8f7ce08c4b2e4cde6a866b5c505c1145f
