role,n,maximum_prediction_difference,owner_sha256
calibration,17350,0.0,6b08ff376ab991acf81d61f50f7a1fe8b020a27ace14fcf5a814e92d274b5acb
test,34640,0.0,6b08ff376ab991acf81d61f50f7a1fe8b020a27ace14fcf5a814e92d274b5acb
