dataset,horizon,outer_fold,model_seed,model,evidence_status,estimator_class,mae,rmse,n_fit,n_calibration,n_evaluation,selected_candidate,final_epochs,tuning_seconds,final_fit_seconds,calibration_seconds,inference_seconds,inference_batch_size,inference_rows_per_second,baseline_rss_bytes,peak_rss_bytes,peak_private_bytes,process_cpu_seconds,learned_tuning_fits,learned_final_fits,negative_predictions,status
bdg2,3,2,43,persistence,matched_forecasting005,src.pilot_forecasters.Persistence,42.80348447459585,78.69880137930757,51634,17360,34640,0,,0.0,0.00038860000495333225,0.006797399997594766,0.01217000000178814,256,2846343.4671249255,450580480,450748416,406712320,0.03125,0,0,0,complete
bdg2,3,2,43,xgboost,matched_forecasting005,xgboost.sklearn.XGBRegressor,28.57570213110938,54.13507443126881,51634,17360,34640,0,,6.326060299994424,2.065454800002044,0.16146439999283757,0.3162692000041716,256,109526.94729535187,453283840,582844416,605356032,8.625,4,1,69,complete
bdg2,3,2,43,attention_lstm,matched_forecasting005,src.attention_lstm.AttentionLSTM,33.44762582413813,65.5270102532562,51634,17360,34640,0,15.0,326.4265493999992,106.58459459998994,0.662775300006615,1.2893418000021484,256,26866.421301118353,560779264,682987520,721469440,427.4375,4,1,141,complete
