dataset,seed,outer_fold,group_id,empirical_coverage,n
pleia,42,0,,0.9853638841223378,9907
pleia,42,1,,0.9606338952255981,9907
pleia,42,2,,0.8506106793176542,9907
pleia,43,0,,0.9853638841223378,9907
pleia,43,1,,0.9213687291813869,9907
pleia,43,2,,0.8506106793176542,9907
pleia,44,0,,0.9947511860300797,9907
pleia,44,1,,0.9213687291813869,9907
pleia,44,2,,0.40244271727061676,9907
pleia,45,0,,0.9596245079236904,9907
pleia,45,1,,0.9606338952255981,9907
pleia,45,2,,0.41122438679721407,9907
pleia,46,0,,0.9947511860300797,9907
pleia,46,1,,0.9918239628545473,9907
pleia,46,2,,0.5022711214292924,9907
