role,n,maximum_prediction_difference,owner_sha256
calibration,17360,0.0,9800cdfd0d4c08a04941af09fd8e7645605fae08dd9b31bd879d8148a643377c
test,34640,0.0,9800cdfd0d4c08a04941af09fd8e7645605fae08dd9b31bd879d8148a643377c
