ablation,applicable,dataset,seed,outer_fold,interval_method,recalibration,rule,macro_recall,background_episodes_per_asset_day,operational_feasible
baseline,True,rico,42,0,quantile_uncalibrated,static,single,0.5,0.0,False
conformal_only,True,rico,42,0,cqr,static,single,0.5,0.0,False
temporal,True,rico,42,0,cqr,static,k4_w60,0.5,0.0,False
full,True,rico,42,0,recentred_enbpi_static,static,k4_w60,0.5,0.0,False
baseline,True,rico,42,1,quantile_uncalibrated,static,single,0.5,0.0,False
conformal_only,True,rico,42,1,cqr,static,single,0.5,0.0,False
temporal,True,rico,42,1,cqr,static,k4_w60,0.5,0.0,False
full,True,rico,42,1,recentred_enbpi_static,static,k4_w60,0.5,0.0,False
baseline,True,rico,42,2,quantile_uncalibrated,static,single,1.0,0.0,False
conformal_only,True,rico,42,2,cqr,static,single,0.5,0.0,False
temporal,True,rico,42,2,cqr,static,k3_w30,0.5,0.0,False
full,True,rico,42,2,cqr,static,k3_w30,0.5,0.0,False
baseline,True,rico,43,0,quantile_uncalibrated,static,single,0.5,0.0,False
conformal_only,True,rico,43,0,cqr,static,single,0.5,0.0,False
temporal,True,rico,43,0,cqr,static,k4_w60,0.5,0.0,False
full,True,rico,43,0,recentred_enbpi_static,static,k4_w60,0.5,0.0,False
baseline,True,rico,43,1,quantile_uncalibrated,static,single,1.0,0.0,False
conformal_only,True,rico,43,1,cqr,static,single,1.0,0.0,False
temporal,True,rico,43,1,cqr,static,k3_w30,0.5,0.0,False
full,True,rico,43,1,cqr,static,k3_w30,0.5,0.0,False
baseline,True,rico,43,2,quantile_uncalibrated,static,single,1.0,0.0,False
conformal_only,True,rico,43,2,cqr,static,single,1.0,0.0,False
temporal,True,rico,43,2,cqr,static,k4_w60,0.5,0.0,False
full,True,rico,43,2,cqr,static,k4_w60,0.5,0.0,False
baseline,True,rico,44,0,quantile_uncalibrated,static,single,0.6666666666666666,0.0,False
conformal_only,True,rico,44,0,cqr,static,single,0.6666666666666666,0.0,False
temporal,True,rico,44,0,cqr,static,k4_w60,0.6666666666666666,0.0,False
full,True,rico,44,0,recentred_enbpi_static,static,k4_w60,0.3333333333333333,0.0,False
baseline,True,rico,44,1,quantile_uncalibrated,static,single,1.0,0.0,False
conformal_only,True,rico,44,1,cqr,static,single,1.0,0.0,False
temporal,True,rico,44,1,cqr,static,k4_w60,0.3333333333333333,0.0,False
full,True,rico,44,1,cqr,static,k4_w60,0.3333333333333333,0.0,False
baseline,True,rico,44,2,quantile_uncalibrated,static,single,0.3333333333333333,6.515837104072398,False
conformal_only,True,rico,44,2,cqr,static,single,0.6666666666666666,6.515837104072398,False
temporal,True,rico,44,2,cqr,static,k4_w60,0.6666666666666666,0.0,False
full,True,rico,44,2,recentred_enbpi_static,static,k4_w60,0.3333333333333333,0.0,False
baseline,True,rico,45,0,quantile_uncalibrated,static,single,0.5,0.0,False
conformal_only,True,rico,45,0,cqr,static,single,0.5,0.0,False
temporal,True,rico,45,0,cqr,static,k4_w60,0.5,0.0,False
full,True,rico,45,0,recentred_enbpi_static,static,k4_w60,0.5,0.0,False
baseline,True,rico,45,1,quantile_uncalibrated,static,single,0.5,0.0,False
conformal_only,True,rico,45,1,cqr,static,single,0.5,0.0,False
temporal,True,rico,45,1,cqr,static,k4_w60,0.5,0.0,False
full,True,rico,45,1,recentred_enbpi_static,static,k4_w60,0.5,0.0,False
baseline,True,rico,45,2,quantile_uncalibrated,static,single,1.0,0.0,False
conformal_only,True,rico,45,2,cqr,static,single,0.5,0.0,False
temporal,True,rico,45,2,cqr,static,k4_w60,0.5,0.0,False
full,True,rico,45,2,cqr,static,k4_w60,0.5,0.0,False
baseline,True,rico,46,0,quantile_uncalibrated,static,single,0.6666666666666666,0.0,False
conformal_only,True,rico,46,0,cqr,static,single,0.6666666666666666,0.0,False
temporal,True,rico,46,0,cqr,static,k4_w60,0.3333333333333333,0.0,False
full,True,rico,46,0,recentred_enbpi_static,static,k4_w60,0.3333333333333333,0.0,False
baseline,True,rico,46,1,quantile_uncalibrated,static,single,1.0,0.0,False
conformal_only,True,rico,46,1,cqr,static,single,1.0,0.0,False
temporal,True,rico,46,1,cqr,static,k4_w60,0.3333333333333333,0.0,False
full,True,rico,46,1,cqr,static,k4_w60,0.3333333333333333,0.0,False
baseline,True,rico,46,2,quantile_uncalibrated,static,single,0.6666666666666666,6.515837104072398,False
conformal_only,True,rico,46,2,cqr,static,single,0.6666666666666666,6.515837104072398,False
temporal,True,rico,46,2,cqr,static,k4_w60,0.3333333333333333,0.0,False
full,True,rico,46,2,recentred_enbpi_static,static,k4_w60,0.3333333333333333,0.0,False
