event_id,event_type,severity,group_id,detected,detection_delay_steps,detection_delay_min,dataset,seed,outer_fold
0,bias,1.0sd,P5S59,True,3.0,3.0,rico,42,0
1,bias,0.5sd,P5S59,False,,,rico,42,0
0,bias,1.0sd,P5S58,True,3.0,3.0,rico,42,1
1,bias,0.5sd,P5S58,False,,,rico,42,1
0,bias,1.0sd,P5S57,True,2.0,2.0,rico,42,2
1,bias,0.5sd,P5S57,False,,,rico,42,2
0,bias,0.5sd,P5S59,True,3.0,3.0,rico,43,0
1,bias,1.0sd,P5S59,False,,,rico,43,0
0,bias,0.5sd,P5S58,True,2.0,2.0,rico,43,1
1,bias,1.0sd,P5S58,False,,,rico,43,1
0,bias,0.5sd,P5S57,True,3.0,3.0,rico,43,2
1,bias,1.0sd,P5S57,False,,,rico,43,2
0,bias,1.0sd,P5S59,True,3.0,3.0,rico,44,0
1,bias,0.5sd,P5S59,False,,,rico,44,0
2,bias,2.0sd,P5S59,False,,,rico,44,0
0,bias,1.0sd,P5S58,True,3.0,3.0,rico,44,1
1,bias,0.5sd,P5S58,False,,,rico,44,1
2,bias,2.0sd,P5S58,False,,,rico,44,1
0,bias,1.0sd,P5S57,True,3.0,3.0,rico,44,2
1,bias,0.5sd,P5S57,False,,,rico,44,2
2,bias,2.0sd,P5S57,False,,,rico,44,2
0,bias,1.0sd,P5S59,True,3.0,3.0,rico,45,0
1,bias,0.5sd,P5S59,False,,,rico,45,0
0,bias,1.0sd,P5S58,True,3.0,3.0,rico,45,1
1,bias,0.5sd,P5S58,False,,,rico,45,1
0,bias,1.0sd,P5S57,True,3.0,3.0,rico,45,2
1,bias,0.5sd,P5S57,False,,,rico,45,2
0,bias,0.5sd,P5S59,True,3.0,3.0,rico,46,0
1,bias,2.0sd,P5S59,False,,,rico,46,0
2,bias,1.0sd,P5S59,False,,,rico,46,0
0,bias,0.5sd,P5S58,True,3.0,3.0,rico,46,1
1,bias,2.0sd,P5S58,False,,,rico,46,1
2,bias,1.0sd,P5S58,False,,,rico,46,1
0,bias,0.5sd,P5S57,True,3.0,3.0,rico,46,2
1,bias,2.0sd,P5S57,False,,,rico,46,2
2,bias,1.0sd,P5S57,False,,,rico,46,2
