role,n,maximum_prediction_difference,owner_sha256
calibration,17350,0.0,86eb24a55ff1c90ba6dd74d474ed82bf1d96b433aa5996d0593009c2fc25ec09
test,34640,0.0,86eb24a55ff1c90ba6dd74d474ed82bf1d96b433aa5996d0593009c2fc25ec09
