dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,unit,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
rico,15,2,43,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6118ae753e7869a6676eab873bbd97832260b434782324da367a8542c2dd9c41,rico_h15_f2_s43_attention_lstm,1.1418552999966778,652451840,657068032,682622976,687738880,4616192,657526784,4120031232,0.05,1.015625
rico,30,2,43,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,050b5ce09462d58b7bce831cbc47f90ab7c8a1dad2cdbf0f11daf141c77b099b,rico_h30_f2_s43_persistence,0.5961711999989348,434782208,434946048,388149248,388239360,163840,481615872,4454375424,0.05,0.4375
rico,30,2,43,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,050b5ce09462d58b7bce831cbc47f90ab7c8a1dad2cdbf0f11daf141c77b099b,rico_h30_f2_s43_xgboost,1.025068499991903,532774912,532774912,564436992,564436992,0,548433920,4561997824,0.05,0.84375
rico,30,2,43,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,050b5ce09462d58b7bce831cbc47f90ab7c8a1dad2cdbf0f11daf141c77b099b,rico_h30_f2_s43_attention_lstm,0.9571711000025971,643391488,646070272,689700864,692715520,2678784,648478720,4319223808,0.05,0.921875
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,rico_h60_f2_s43_persistence,0.5537257999967551,429674496,429768704,382230528,382296064,94208,472027136,4461723648,0.05,0.453125
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,rico_h60_f2_s43_xgboost,1.0385200000018813,540016640,544047104,555724800,559783936,4030464,544047104,4353658880,0.05,0.875
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,rico_h60_f2_s43_attention_lstm,0.8410977000021376,624603136,628072448,656166912,659374080,3469312,646627328,4320960512,0.05,0.734375
bdg2,1,2,43,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e,bdg2_h1_f2_s43_persistence,2.647697699998389,464027648,468279296,420700160,424886272,4251648,1031684096,4472549376,0.05,2.546875
bdg2,1,2,43,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e,bdg2_h1_f2_s43_xgboost,4.055316800004221,573837312,579510272,595963904,601743360,5672960,1031684096,4338851840,0.05,3.875
bdg2,1,2,43,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e,bdg2_h1_f2_s43_attention_lstm,4.127691899993806,670261248,675651584,721870848,727420928,5390336,1031684096,4266561536,0.05,3.90625
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,bdg2_h3_f2_s43_persistence,2.598119799993583,460984320,466178048,418127872,423432192,5193728,1031712768,4441120768,0.05,2.34375
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,bdg2_h3_f2_s43_xgboost,4.164516399992863,567304192,572755968,590852096,596606976,5451776,1031712768,4279427072,0.05,3.828125
