model,mae,rmse,model_phase_seconds,selected_candidate,final_epochs,coverage90,mpiw90,winkler90,q90,rank90,coverage95,mpiw95,winkler95,q95,rank95
persistence,0.14425096503178927,3.4973458927613192,0.009978700007195584,0,,0.9570087798970632,1.015625,2.194871770612574,0.5078125,8918,0.9754768392370572,1.234375,3.452844320819455,0.6171875,9413
xgboost,0.10136274642733323,2.474090309353983,5.926783800008707,0,,0.9597335755373902,0.7051993012428284,1.3825880121524283,0.3525996506214142,8918,0.9789080633767282,0.9261906147003174,2.149957266467672,0.4630953073501587,9413
attention_lstm,0.10133807272401704,2.475524998093707,420.5998962000158,0,12.0,0.9616510243213241,0.7234830856323242,1.383633936681015,0.3617415428161621,8918,0.9819356140882026,0.9758375883102417,2.1609889997316176,0.48791879415512085,9413
