log,category,command,started_utc,ended_utc,seconds,exit_status,learned_fits
smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s42_v1.log.json,real unit,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""0"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f0_s42_v1""]",2026-09-13T16:12:36.303649+00:00,2026-09-13T16:20:02.903925+00:00,446.59704919999785,0,10
smart_building_conformal/outputs/matched_forecasting005/validation/energy_h1_archive_resume_v1.log.json,no-fit verification/preparation,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""scripts/read_matched_energy005.py"", ""resume"", ""--receipt"", ""outputs/matched_forecasting005/validation/energy_h1_archive_resume_v1.json""]",2026-09-13T16:26:34.998143+00:00,2026-09-13T16:26:45.664266+00:00,10.663375600001018,0,0
smart_building_conformal/outputs/matched_forecasting005/validation/energy_h1_audit_v1.log.json,no-fit verification/preparation,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""validate"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""0"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f0_s42_v1"", ""--receipt"", ""outputs/matched_forecasting005/energy_h1_audit_v1""]",2026-09-13T16:20:13.579012+00:00,2026-09-13T16:20:24.170638+00:00,10.589156699999876,1,0
smart_building_conformal/outputs/matched_forecasting005/validation/energy_h1_audit_v2.log.json,no-fit verification/preparation,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""scripts/read_matched_energy005.py"", ""validate"", ""--receipt"", ""outputs/matched_forecasting005/energy_h1_audit_v2""]",2026-09-13T16:24:40.851547+00:00,2026-09-13T16:25:05.327149+00:00,24.478820500000438,0,0
smart_building_conformal/outputs/matched_forecasting005/validation/energy_h1_resume_v1.log.json,no-fit verification/preparation,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""resume"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""0"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f0_s42_v1"", ""--forbid-fits"", ""--receipt"", ""outputs/matched_forecasting005/validation/energy_h1_resume_v1.json""]",2026-09-13T16:22:48.841509+00:00,2026-09-13T16:22:57.578540+00:00,8.742142100003548,0,0
smart_building_conformal/outputs/matched_forecasting005/validation/freeze_energy_v1.log.json,no-fit verification/preparation,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""freeze"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""0"", ""--model-seed"", ""42"", ""--authorization"", ""configs/matched_forecasting005_energy_h1_authorization.json""]",2026-09-13T16:09:45.910033+00:00,2026-09-13T16:09:57.475699+00:00,11.565531499996723,0,0
smart_building_conformal/outputs/matched_forecasting005/validation/identifier_export_v1.log.json,no-fit verification/preparation,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""pytest"", ""tests/test_matched005_identifier_export.py"", ""-q""]",2026-09-13T16:24:37.881399+00:00,2026-09-13T16:24:40.539766+00:00,2.658689100004267,0,0
smart_building_conformal/outputs/matched_forecasting005/validation/published_roles_v1.log.json,no-fit verification/preparation,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""scripts/check_matched005_preflight.py"", ""--out"", ""outputs/matched_forecasting005/preflight_v1""]",2026-09-13T16:06:51.278991+00:00,2026-09-13T16:07:07.036990+00:00,15.762792499997886,1,0
smart_building_conformal/outputs/matched_forecasting005/validation/published_roles_v2.log.json,no-fit verification/preparation,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""scripts/check_matched005_preflight.py"", ""--out"", ""outputs/matched_forecasting005/preflight_v2""]",2026-09-13T16:07:49.838213+00:00,2026-09-13T16:11:19.433513+00:00,209.59655329999805,0,0
smart_building_conformal/outputs/matched_forecasting005/validation/readiness_energy_v1.log.json,no-fit verification/preparation,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""readiness"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""0"", ""--model-seed"", ""42""]",2026-09-13T16:10:28.406358+00:00,2026-09-13T16:10:38.122632+00:00,9.722112299998116,0,0
smart_building_conformal/outputs/matched_forecasting005/validation/regression_smoke_v1.log.json,tiny integration/regression,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""pytest"", ""tests/test_matched_forecasting005.py"", ""-q""]",2026-09-13T16:05:26.860341+00:00,2026-09-13T16:05:41.038444+00:00,14.17787820000376,0,10
smart_building_conformal/outputs/matched_forecasting005/validation/regression_smoke_v2.log.json,tiny integration/regression,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""pytest"", ""tests/test_matched_forecasting005.py"", ""-q""]",2026-09-13T16:08:57.799442+00:00,2026-09-13T16:09:12.518757+00:00,14.716992100002244,0,10
