left,right,n_left,n_right,left_origin_min,left_origin_max,left_target_max,right_origin_min,right_origin_max,right_target_min,right_target_max,target_overlap_count,row_overlap_count,shared_groups,run_intersections,left_membership_sha256,right_membership_sha256
fit,calibration,14858,4953,2021-01-08 00:00:00,2021-04-21 04:10:00,2021-04-21 04:20:00,2021-04-21 04:40:00,2021-05-25 14:00:00,2021-04-21 04:50:00,2021-05-25 14:10:00,0,0,,0,082d3c719093d84e13379d5a2c367aacae289407ac707cb64d266f759ebb787b,9eb8650e22c2484bd09a282820451387cd0610e0cf55aa2ec428816a260b5143
calibration,test,4953,9907,2021-04-21 04:40:00,2021-05-25 14:00:00,2021-05-25 14:10:00,2021-05-25 14:20:00,2021-08-02 09:20:00,2021-05-25 14:30:00,2021-08-02 09:30:00,0,0,,0,9eb8650e22c2484bd09a282820451387cd0610e0cf55aa2ec428816a260b5143,9873f938ec58b7643a4b9bb6625e3522fa47921a83ef136da20c6e62a17a410f
inner0_train,inner0_validation,4951,4952,2021-01-08 00:00:00,2021-02-11 09:00:00,2021-02-11 09:10:00,2021-02-11 09:20:00,2021-03-17 18:30:00,2021-02-11 09:30:00,2021-03-17 18:40:00,0,0,,0,772e37103d6ec8c04ebb7c7e034fb82e77efacdfb42740094dd62aba1cdcbb46,3ee052b31b48d8aee119b1a1a23488da243b59b1055ebe21d22b810798c26df1
inner1_train,inner1_validation,9903,4953,2021-01-08 00:00:00,2021-03-17 18:30:00,2021-03-17 18:40:00,2021-03-17 18:50:00,2021-04-21 04:10:00,2021-03-17 19:00:00,2021-04-21 04:20:00,0,0,,0,bc9acab132bf77c6fdb966545b0c1c36c2d8d40c0debf6ad9879832e8eed3f18,af2dbfce54bc80c97b7250e3d85c70b3feb7714d2fb1b6436b4b00eeaec9ed9e
