dataset,actual_exit,point_cells,interval_cells,saved_model_checks,maximum_prediction_difference,completed_resume_fits,all_run_files_unchanged
rico,0,3,6,6,0.0,0,True
bdg2,0,3,6,6,0.0,0,True
