dataset,model,group_id,nominal_level,aggregation,n,mae,rmse,coverage,mpiw,winkler,negative_points,negative_lower_bounds,phase
rico,persistence,P1S101,0.9,within-original-group sample mean,212,0.0509433962264151,0.0733304745011652,0.9952830188679245,0.3999999999999986,0.3999999999999989,0,0,1.0
rico,persistence,P3S0,0.9,within-original-group sample mean,212,0.19528301886792457,0.2514111118662247,0.6509433962264151,0.3999999999999986,1.6264150943396294,0,0,3.0
rico,persistence,P3S1,0.9,within-original-group sample mean,212,0.03396226415094342,0.058277151741435905,1.0,0.3999999999999986,0.3999999999999986,0,0,3.0
rico,persistence,P3S2,0.9,within-original-group sample mean,212,0.0816037735849057,0.11594566066229087,0.9339622641509434,0.3999999999999986,0.5037735849056612,0,0,3.0
rico,persistence,P3S3,0.9,within-original-group sample mean,212,0.04764150943396224,0.09033480701529481,0.9622641509433962,0.3999999999999986,0.4471698113207546,0,0,3.0
rico,persistence,P3S4,0.9,within-original-group sample mean,212,0.06933962264150942,0.10023557158674135,0.9622641509433962,0.3999999999999986,0.40000000000000047,0,0,3.0
rico,persistence,P3S5,0.9,within-original-group sample mean,212,0.03867924528301886,0.06799001036500849,0.9811320754716981,0.39999999999999863,0.3999999999999993,0,0,3.0
rico,persistence,P4S0,0.9,within-original-group sample mean,212,0.0900943396226415,0.12570555593311228,0.9056603773584906,0.3999999999999986,0.5320754716981143,0,0,4.0
rico,persistence,P4S1,0.9,within-original-group sample mean,212,0.10047169811320755,0.11994495592908518,0.9622641509433962,0.3999999999999986,0.40000000000000124,0,0,4.0
rico,persistence,P4S10,0.9,within-original-group sample mean,212,0.044339622641509424,0.06868028197434452,0.9952830188679245,0.3999999999999986,0.3999999999999989,0,0,4.0
rico,persistence,P4S11,0.9,within-original-group sample mean,212,0.033018867924528114,0.05746204653902255,1.0,0.3999999999999986,0.3999999999999986,0,0,4.0
rico,persistence,P4S12,0.9,within-original-group sample mean,212,0.10377358490566034,0.1430793420211581,0.8773584905660378,0.3999999999999986,0.6452830188679263,0,0,4.0
rico,persistence,P4S13,0.9,within-original-group sample mean,212,0.14528301886792452,0.18351905972682744,0.7688679245283019,0.3999999999999986,0.9188679245283056,0,0,4.0
rico,persistence,P4S14,0.9,within-original-group sample mean,212,0.04386792452830187,0.0662328653527098,1.0,0.3999999999999986,0.3999999999999986,0,0,4.0
rico,persistence,P4S15,0.9,within-original-group sample mean,212,0.09669811320754723,0.14650004829672722,0.8632075471698113,0.3999999999999986,0.7396226415094354,0,0,4.0
rico,persistence,P4S16,0.9,within-original-group sample mean,212,0.18632075471698112,0.2372205406486976,0.7075471698113207,0.39999999999999863,1.4377358490566086,0,0,4.0
rico,persistence,P4S17,0.9,within-original-group sample mean,212,0.01603773584905659,0.040047142031681325,1.0,0.39999999999999886,0.39999999999999886,0,0,4.0
rico,persistence,P4S18,0.9,within-original-group sample mean,212,0.12264150943396228,0.1885896013460155,0.8113207547169812,0.3999999999999986,1.0792452830188703,0,0,4.0
rico,persistence,P4S19,0.9,within-original-group sample mean,212,0.0783018867924528,0.11856054897639813,0.9150943396226415,0.3999999999999986,0.5226415094339636,0,0,4.0
rico,persistence,P4S2,0.9,within-original-group sample mean,212,0.06037735849056601,0.08467473838610137,0.9905660377358491,0.3999999999999986,0.39999999999999925,0,0,4.0
rico,persistence,P4S20,0.9,within-original-group sample mean,212,0.02216981132075458,0.04708482910742529,1.0,0.3999999999999986,0.3999999999999986,0,0,4.0
rico,persistence,P4S21,0.9,within-original-group sample mean,212,0.0674528301886792,0.09491803812903077,0.9811320754716981,0.3999999999999986,0.3999999999999999,0,0,4.0
rico,persistence,P4S22,0.9,within-original-group sample mean,212,0.017924528301886795,0.042337369193050714,1.0,0.3999999999999986,0.3999999999999986,0,0,4.0
rico,persistence,P4S23,0.9,within-original-group sample mean,212,0.08018867924528307,0.093162467136819,0.9905660377358491,0.3999999999999986,0.39999999999999925,0,0,4.0
rico,persistence,P4S24,0.9,within-original-group sample mean,212,0.03537735849056612,0.06026670284409238,0.9952830188679245,0.3999999999999986,0.3999999999999989,0,0,4.0
rico,persistence,P4S25,0.9,within-original-group sample mean,212,0.08915094339622642,0.11635177630383046,0.9386792452830188,0.3999999999999986,0.4471698113207555,0,0,4.0
rico,persistence,P4S26,0.9,within-original-group sample mean,212,0.0575471698113207,0.08954813188742851,0.9528301886792453,0.39999999999999863,0.4000000000000003,0,0,4.0
rico,persistence,P4S27,0.9,within-original-group sample mean,212,0.041981132075471723,0.07037634679833314,0.9858490566037735,0.3999999999999986,0.3999999999999996,0,0,4.0
rico,persistence,P4S28,0.9,within-original-group sample mean,212,0.05424528301886796,0.09085547303895393,0.9669811320754716,0.3999999999999987,0.437735849056604,0,0,4.0
rico,persistence,P4S29,0.9,within-original-group sample mean,212,0.035377358490565995,0.059478868928860736,1.0,0.3999999999999988,0.3999999999999988,0,0,4.0
rico,persistence,P4S3,0.9,within-original-group sample mean,212,0.01320754716981134,0.036342189215581605,1.0,0.3999999999999986,0.3999999999999986,0,0,4.0
rico,persistence,P4S30,0.9,within-original-group sample mean,212,0.17641509433962266,0.22674896767046737,0.7075471698113207,0.3999999999999986,1.3811320754717027,0,0,4.0
rico,persistence,P4S31,0.9,within-original-group sample mean,212,0.15896226415094347,0.2358245270262825,0.7452830188679245,0.39999999999999863,1.484905660377362,0,0,4.0
rico,persistence,P4S32,0.9,within-original-group sample mean,212,0.08066037735849062,0.13157249239380164,0.9056603773584906,0.3999999999999986,0.6452830188679256,0,0,4.0
rico,persistence,P4S33,0.9,within-original-group sample mean,212,0.04622641509433964,0.0739709274864629,0.9905660377358491,0.3999999999999986,0.39999999999999925,0,0,4.0
rico,persistence,P4S34,0.9,within-original-group sample mean,212,0.1570754716981132,0.21401375374599835,0.7971698113207547,0.3999999999999986,1.192452830188682,0,0,4.0
rico,persistence,P4S5,0.9,within-original-group sample mean,212,0.07500000000000007,0.09833519878840295,0.9858490566037735,0.3999999999999986,0.40943396226415035,0,0,4.0
rico,persistence,P4S6,0.9,within-original-group sample mean,212,0.025943396226415127,0.05093466032714379,1.0,0.3999999999999986,0.3999999999999986,0,0,4.0
rico,persistence,P4S7,0.9,within-original-group sample mean,212,0.05660377358490564,0.09059551407112447,0.9716981132075472,0.3999999999999986,0.42830188679245246,0,0,4.0
rico,persistence,P4S8,0.9,within-original-group sample mean,212,0.023113207547169806,0.04904753181719228,1.0,0.3999999999999986,0.3999999999999986,0,0,4.0
rico,persistence,P4S9,0.9,within-original-group sample mean,212,0.10000000000000002,0.17617529863478762,0.8584905660377359,0.3999999999999986,0.9754716981132091,0,0,4.0
rico,persistence,P1S101,0.95,within-original-group sample mean,212,0.0509433962264151,0.0733304745011652,1.0,0.6000000000000014,0.6000000000000014,0,0,1.0
rico,persistence,P3S0,0.95,within-original-group sample mean,212,0.19528301886792457,0.2514111118662247,0.8207547169811321,0.6000000000000014,1.8641509433962213,0,0,3.0
rico,persistence,P3S1,0.95,within-original-group sample mean,212,0.03396226415094342,0.058277151741435905,1.0,0.6000000000000014,0.6000000000000014,0,0,3.0
rico,persistence,P3S2,0.95,within-original-group sample mean,212,0.0816037735849057,0.11594566066229087,0.9952830188679245,0.6000000000000014,0.6188679245283035,0,0,3.0
rico,persistence,P3S3,0.95,within-original-group sample mean,212,0.04764150943396224,0.09033480701529481,1.0,0.6000000000000014,0.6000000000000014,0,0,3.0
rico,persistence,P3S4,0.95,within-original-group sample mean,212,0.06933962264150942,0.10023557158674135,1.0,0.6000000000000014,0.6000000000000014,0,0,3.0
rico,persistence,P3S5,0.95,within-original-group sample mean,212,0.03867924528301886,0.06799001036500849,1.0,0.6000000000000015,0.6000000000000015,0,0,3.0
rico,persistence,P4S0,0.95,within-original-group sample mean,212,0.0900943396226415,0.12570555593311228,1.0,0.6000000000000014,0.6000000000000014,0,0,4.0
rico,persistence,P4S1,0.95,within-original-group sample mean,212,0.10047169811320755,0.11994495592908518,1.0,0.6000000000000014,0.6000000000000014,0,0,4.0
rico,persistence,P4S10,0.95,within-original-group sample mean,212,0.044339622641509424,0.06868028197434452,1.0,0.6000000000000014,0.6000000000000014,0,0,4.0
rico,persistence,P4S11,0.95,within-original-group sample mean,212,0.033018867924528114,0.05746204653902255,1.0,0.6000000000000014,0.6000000000000014,0,0,4.0
rico,persistence,P4S12,0.95,within-original-group sample mean,212,0.10377358490566034,0.1430793420211581,0.9764150943396226,0.6000000000000014,0.6943396226415107,0,0,4.0
rico,persistence,P4S13,0.95,within-original-group sample mean,212,0.14528301886792452,0.18351905972682744,0.9339622641509434,0.6000000000000014,0.864150943396226,0,0,4.0
rico,persistence,P4S14,0.95,within-original-group sample mean,212,0.04386792452830187,0.0662328653527098,1.0,0.6000000000000014,0.6000000000000014,0,0,4.0
rico,persistence,P4S15,0.95,within-original-group sample mean,212,0.09669811320754723,0.14650004829672722,0.9528301886792453,0.6000000000000014,0.7886792452830181,0,0,4.0
rico,persistence,P4S16,0.95,within-original-group sample mean,212,0.18632075471698112,0.2372205406486976,0.8632075471698113,0.6000000000000014,1.6188679245282995,0,0,4.0
rico,persistence,P4S17,0.95,within-original-group sample mean,212,0.01603773584905659,0.040047142031681325,1.0,0.6000000000000016,0.6000000000000016,0,0,4.0
