model,phase,nested,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
persistence,artifact_reload_and_predict_verification,False,0.09786619999795221,434769920,434860032,388952064,389001216,90112,483983360,4409864192,0.05,0.078125
persistence,tuning,False,0.0012014999956591055,432971776,432996352,386260992,386293760,24576,488558592,4449177600,0.05,0.0
persistence,final_fit,False,0.0004304000030970201,432996352,432996352,386293760,386293760,0,488558592,4449177600,0.05,0.0
persistence,calibration,False,0.0027092000091215596,432996352,433086464,386293760,386293760,90112,488558592,4449144832,0.05,0.015625
persistence,inference,False,0.004994400005671196,433086464,433086464,386293760,386293760,0,488558592,4449099776,0.05,0.0
persistence,artifact_serialization,False,0.0006285999988904223,433618944,433635328,386801664,386834432,16384,488558592,4448669696,0.05,0.015625
xgboost,artifact_reload_and_predict_verification,False,0.7509428000048501,436064256,537059328,389922816,557334528,100995072,537059328,4320346112,0.05,0.75
xgboost,tuning,False,3.355110299991793,438214656,547356672,390754304,565108736,109142016,548356096,4312305664,0.05,3.15625
xgboost,final_fit,False,0.8202407999924617,542941184,548823040,560676864,566607872,5881856,548827136,4317212672,0.05,0.8125
xgboost,calibration,False,0.07276409999758471,543764480,543768576,561504256,561520640,4096,548827136,4322357248,0.05,0.0625
xgboost,inference,False,0.14570639999874402,543764480,543768576,561504256,561520640,4096,548827136,4331622400,0.05,0.15625
xgboost,artifact_serialization,False,0.00487750000320375,543768576,543776768,561471488,561504256,8192,548827136,4331671552,0.05,0.015625
attention_lstm,artifact_reload_and_predict_verification,False,0.6891930999991018,539480064,563412992,559558656,605704192,23932928,564547584,4301864960,0.05,0.671875
attention_lstm,tuning,False,98.75346659999923,540344320,651431936,560386048,684949504,111087616,652812288,4178452480,0.05,96.84375
attention_lstm,final_fit,False,29.10740190000797,646025216,648552448,678277120,680615936,2527232,652812288,4197462016,0.05,28.515625
attention_lstm,calibration,False,0.17297339999640826,637595648,639053824,670003200,671072256,1458176,652812288,4267843584,0.05,0.203125
attention_lstm,inference,False,0.33749940000416245,639049728,639057920,671055872,671076352,8192,652812288,4265680896,0.05,0.328125
attention_lstm,artifact_serialization,False,0.004219700000248849,640598016,640880640,672641024,672817152,282624,652812288,4265295872,0.05,0.0
