part,bytes,sha256,members,uncompressed_bytes
core.zip,22713118,b10817674c102e97ad7f38088efde5ce9269ef6a1800a994d0f24c8ccca70b65,85,46259592
contexts_01_08.zip,61630025,ecc0323f809330ae9e69f719a7990b4452abcc553c855955d8bc06c05337f8b5,14837,59514664
contexts_09_16.zip,63017938,6ecebe8ffe8dc33bf58edce1bade841bda7bd496e10b7658ac4a96145963f751,15112,60862275
contexts_17_24.zip,62146372,b8f63b2bdc0a922c100d00b56d0a6b8784c551eaf5e78be7f049c0013d40f787,14947,60023037
contexts_25_32.zip,62594446,c4b398036425ceea4bf11246bd40853e72b8dd16af77d9ca30ecfdda8a0a7af1,15002,60454902
contexts_33_40.zip,63258398,e221f31b7d22162724d5f20ba03bc44b71c9a7cfe4f64951cb325a2fc19a1bad,15167,61096830
contexts_41_48.zip,62251110,f34a5ba8361b871e1ede7292f329d1d2be761d0c64d8a83831a93052c5633131,14947,60120388
contexts_49_56.zip,61221051,c946649785aa58bc51fcaeff25e4f84037639af3972965d1466f9895d9cc2291,14727,59121379
contexts_57_64.zip,62102949,6f93f5f3a42e729c574cf400e5f19fdee52a3e1b883cc431e69d1968ede9dbf1,14947,59974318
contexts_65_68.zip,30732901,ebfdb1ad8640c015f6b8db5ccac5f42c77d7ec0e00d244dafe982f6361950b53,7391,29677955
