dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,model_a,model_b,n,loss,horizon,mean_loss_a,mean_loss_b,dm_statistic,p_value,mean_loss_differential,better_model,p_value_holm,significant_holm_5pct
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,xgboost,persistence,34838,absolute,1,21.34873021294618,18.916745751765312,16.323331327643768,1.1224913564828506e-59,2.431984461180869,b,3.367474069448552e-59,True
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,attention_lstm,persistence,34700,absolute,1,19.8654064566084,18.971259965417868,8.287158241913335,1.2010796565979235e-16,0.8941464911905335,b,1.2010796565979235e-16,True
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,xgboost,attention_lstm,34700,absolute,1,21.400812546167614,19.8654064566084,11.530914007348127,1.0484476013388236e-30,1.535406089559214,b,2.096895202677647e-30,True
bdg2,electricity,energy,kWh,0 days 01:00:00,1,60.0,seasonal_naive,persistence,34838,absolute,1,36.535110614845856,18.916745751765312,49.327602224964444,0.0,17.618364863080544,b,0.0,True
bdg2,electricity,energy,kWh,0 days 01:00:00,3,180.0,xgboost,persistence,34818,absolute,3,28.141572189913322,35.99321614107645,-21.326803030706557,2.810612481269344e-100,-7.851643951163134,a,1.1242449925077377e-99,True
bdg2,electricity,energy,kWh,0 days 01:00:00,3,180.0,attention_lstm,persistence,34680,absolute,3,30.278125018887458,36.08315829008073,-16.29027142102201,1.924876241330756e-59,-5.805033271193279,a,5.774628723992268e-59,True
bdg2,electricity,energy,kWh,0 days 01:00:00,3,180.0,xgboost,attention_lstm,34680,absolute,3,28.203889343740308,30.278125018887458,-6.825473480629481,8.907570412304862e-12,-2.0742356751471505,a,1.7815140824609724e-11,True
bdg2,electricity,energy,kWh,0 days 01:00:00,3,180.0,seasonal_naive,persistence,34818,absolute,3,36.52653519731174,35.99321614107645,0.9062533754865194,0.36480802899076054,0.5333190562352808,b,0.36480802899076054,False
bdg2,electricity,energy,kWh,0 days 01:00:00,6,360.0,xgboost,persistence,34788,absolute,6,31.676645455114045,60.91129144245143,-37.57171192592927,7.231437956930955e-303,-29.234645987337366,a,2.892575182772382e-302,True
bdg2,electricity,energy,kWh,0 days 01:00:00,6,360.0,attention_lstm,persistence,34650,absolute,6,40.70410072382517,61.048412447330456,-27.177224001832123,5.9152966953346514e-161,-20.34431172350528,a,1.1830593390669303e-160,True
bdg2,electricity,energy,kWh,0 days 01:00:00,6,360.0,xgboost,attention_lstm,34650,absolute,6,31.73839622779418,40.70410072382517,-16.990938520692048,1.7501552611520955e-64,-8.965704496030986,a,1.7501552611520955e-64,True
bdg2,electricity,energy,kWh,0 days 01:00:00,6,360.0,seasonal_naive,persistence,34788,absolute,6,36.530802451994944,60.91129144245143,-27.22868720565689,1.4765076118474636e-161,-24.38048899045648,a,4.429522835542391e-161,True
