model,mae,rmse,n,negative_predictions,verified
persistence,0.12760863530836783,0.24188010063684087,9907,0,True
xgboost,0.12377272844555232,0.21441656372173365,9907,0,True
attention_lstm,0.12046819212964437,0.22024027508302332,9907,0,True
