horizon,level,bound,saved_vs_corrected_rows,saved_vs_corrected_differing_rows,saved_vs_corrected_exact_equal_rows,saved_vs_corrected_minimum_difference,saved_vs_corrected_maximum_difference,saved_vs_corrected_maximum_absolute_difference,saved_vs_corrected_unique_difference_count,saved_vs_ordinary_rows,saved_vs_ordinary_differing_rows,saved_vs_ordinary_exact_equal_rows,saved_vs_ordinary_minimum_difference,saved_vs_ordinary_maximum_difference,saved_vs_ordinary_maximum_absolute_difference,saved_vs_ordinary_unique_difference_count,saved_vs_restored_native_rows,saved_vs_restored_native_differing_rows,saved_vs_restored_native_exact_equal_rows,saved_vs_restored_native_minimum_difference,saved_vs_restored_native_maximum_difference,saved_vs_restored_native_maximum_absolute_difference,saved_vs_restored_native_unique_difference_count
1,0.9,lower,34426,0,33054,-2.2737367544323206e-13,5.684341886080802e-14,2.2737367544323206e-13,5,34426,34426,0,-0.02395080566429897,-0.023950805663957908,0.02395080566429897,6,34426,0,34426,0.0,0.0,0.0,1
1,0.9,upper,34426,0,33993,-2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,11,34426,34426,0,0.04081533203111576,0.040815332031570506,0.040815332031570506,11,34426,0,34426,0.0,0.0,0.0,1
1,0.95,lower,34426,0,34357,-3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15,3,34426,0,34357,-3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15,3,34426,0,34426,0.0,0.0,0.0,1
1,0.95,upper,34426,0,34191,-2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,11,34426,0,34191,-2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,11,34426,0,34426,0.0,0.0,0.0,1
3,0.9,lower,34422,0,34353,-7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,5,34422,0,34353,-7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,5,34422,0,34422,0.0,0.0,0.0,1
3,0.9,upper,34422,0,34160,-1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,9,34422,0,34160,-1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,9,34422,0,34422,0.0,0.0,0.0,1
3,0.95,lower,34422,0,34404,-7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,5,34422,0,34404,-7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,5,34422,0,34422,0.0,0.0,0.0,1
3,0.95,upper,34422,0,34197,-1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,7,34422,0,34197,-1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,7,34422,0,34422,0.0,0.0,0.0,1
6,0.9,lower,34416,0,33109,-2.2737367544323206e-13,1.1368683772161603e-13,2.2737367544323206e-13,9,34416,0,33109,-2.2737367544323206e-13,1.1368683772161603e-13,2.2737367544323206e-13,9,34416,0,34416,0.0,0.0,0.0,1
6,0.9,upper,34416,0,27021,-2.2737367544323206e-13,1.1368683772161603e-13,2.2737367544323206e-13,7,34416,0,27021,-2.2737367544323206e-13,1.1368683772161603e-13,2.2737367544323206e-13,7,34416,0,34416,0.0,0.0,0.0,1
6,0.95,lower,34416,0,34393,-7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,3,34416,0,34393,-7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,3,34416,0,34416,0.0,0.0,0.0,1
6,0.95,upper,34416,0,23755,-1.1368683772161603e-13,2.842170943040401e-14,1.1368683772161603e-13,5,34416,0,23755,-1.1368683772161603e-13,2.842170943040401e-14,1.1368683772161603e-13,5,34416,0,34416,0.0,0.0,0.0,1
