role,n,maximum_prediction_difference,owner_sha256
calibration,17370,0.0,1548a18545a95f360c84fdb055184632c84c2bc67ec361e4c22351a24fb577df
test,34640,0.0,1548a18545a95f360c84fdb055184632c84c2bc67ec361e4c22351a24fb577df
