model,role,n,max_absolute_difference,atol,rtol,fits,verified
persistence,calibration,4951,0.0,1e-07,1e-07,0,True
persistence,test,9907,0.0,1e-07,1e-07,0,True
xgboost,calibration,4951,0.0,1e-07,1e-07,0,True
xgboost,test,9907,0.0,1e-07,1e-07,0,True
attention_lstm,calibration,4951,0.0,1e-07,1e-07,0,True
attention_lstm,test,9907,0.0,1e-07,1e-07,0,True
