model,mae,rmse,n,negative_predictions,verified
persistence,0.12998936988997678,0.25754481604675455,9907,0,True
xgboost,0.1287675866078985,0.2461221827631574,9907,0,True
attention_lstm,0.1568325963892224,0.26239633956243075,9907,0,True
