control_id,rule_id,channel,conditional_context_macro,status,supported_strata,inference_status,endpoint
quantile_static,30min_3of3,combined,0.39935049019607843,supported_point_estimate,21,single_model_seed_descriptive,C_effective_fault_conditional_context
quantile_static,30min_3of3,numerical_only,0.26918242296918765,supported_point_estimate,21,single_model_seed_descriptive,C_effective_fault_conditional_context
quantile_static,360min_4of36,availability_only,0.05965511204481792,supported_point_estimate,21,single_model_seed_descriptive,C_effective_fault_conditional_context
quantile_static,360min_4of36,combined,0.2705409663865546,supported_point_estimate,21,single_model_seed_descriptive,C_effective_fault_conditional_context
quantile_static,360min_4of36,numerical_only,0.2001391806722689,supported_point_estimate,21,single_model_seed_descriptive,C_effective_fault_conditional_context
quantile_static,60min_4of6,availability_only,0.05965511204481792,supported_point_estimate,21,single_model_seed_descriptive,C_effective_fault_conditional_context
quantile_static,60min_4of6,combined,0.3623345588235295,supported_point_estimate,21,single_model_seed_descriptive,C_effective_fault_conditional_context
quantile_static,60min_4of6,numerical_only,0.25730129551820735,supported_point_estimate,21,single_model_seed_descriptive,C_effective_fault_conditional_context
quantile_static,single_sample,availability_only,0.2857142857142857,supported_point_estimate,21,single_model_seed_descriptive,C_effective_fault_conditional_context
quantile_static,single_sample,combined,0.8525691526610644,supported_point_estimate,21,single_model_seed_descriptive,C_effective_fault_conditional_context
quantile_static,single_sample,numerical_only,0.7250533963585433,supported_point_estimate,21,single_model_seed_descriptive,C_effective_fault_conditional_context
