control_id,rule_id,channel,family,severity,scheduled,effective,null,aliases,effective_contexts,supported,recall,misses,detected,detected_delay_median,detected_delay_q90,restricted_mean_detection_minutes
cqr_rolling,180min_3of18,availability_only,random_missing,0.5,136,63,73,73,50,True,0.03,61,2,40.0,48.0,107.8
cqr_rolling,180min_3of18,availability_only,random_missing,1.0,136,105,31,44,64,True,0.140625,90,15,40.0,50.0,100.234375
cqr_rolling,180min_3of18,availability_only,random_missing,2.0,136,126,10,15,68,True,0.47794117647058826,66,60,40.0,50.0,75.73529411764706
cqr_rolling,180min_3of18,availability_only,block_missing,0.5,136,136,0,76,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,block_missing,1.0,136,136,0,72,68,True,1.0,0,136,30.0,30.0,30.0
cqr_rolling,180min_3of18,availability_only,block_missing,2.0,136,136,0,68,68,True,1.0,0,136,20.0,20.0,20.0
cqr_rolling,180min_3of18,availability_only,stuck,0.5,136,136,0,68,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,stuck,1.0,136,136,0,71,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,stuck,2.0,136,136,0,68,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,dropout,0.5,136,136,0,69,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,dropout,1.0,136,136,0,69,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,dropout,2.0,136,136,0,70,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,bias,0.5,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,bias,1.0,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,bias,2.0,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,level_shift,0.5,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,level_shift,1.0,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,level_shift,2.0,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,drift,0.5,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,drift,1.0,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,drift,2.0,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,combined,random_missing,0.5,136,63,73,73,50,True,0.14,52,11,10.0,50.0,97.7
cqr_rolling,180min_3of18,combined,random_missing,1.0,136,105,31,44,64,True,0.203125,81,24,30.0,67.0,94.53125
cqr_rolling,180min_3of18,combined,random_missing,2.0,136,126,10,15,68,True,0.4485294117647059,68,58,30.0,50.0,75.88235294117646
cqr_rolling,180min_3of18,combined,block_missing,0.5,136,136,0,76,68,True,0.2647058823529412,100,36,30.0,90.0,93.08823529411765
cqr_rolling,180min_3of18,combined,block_missing,1.0,136,136,0,72,68,True,0.7058823529411765,40,96,30.0,30.0,51.029411764705884
cqr_rolling,180min_3of18,combined,block_missing,2.0,136,136,0,68,68,True,0.6911764705882353,42,94,20.0,20.0,45.73529411764706
cqr_rolling,180min_3of18,combined,stuck,0.5,136,136,0,68,68,True,0.07352941176470588,126,10,50.0,90.0,105.73529411764706
cqr_rolling,180min_3of18,combined,stuck,1.0,136,136,0,71,68,True,0.08823529411764706,124,12,55.0,108.0,105.58823529411765
cqr_rolling,180min_3of18,combined,stuck,2.0,136,136,0,68,68,True,0.058823529411764705,128,8,85.0,110.0,108.08823529411765
cqr_rolling,180min_3of18,combined,dropout,0.5,136,136,0,69,68,True,0.22058823529411764,106,30,30.0,90.0,95.1470588235294
cqr_rolling,180min_3of18,combined,dropout,1.0,136,136,0,69,68,True,0.6764705882352942,44,92,30.0,30.0,53.970588235294116
cqr_rolling,180min_3of18,combined,dropout,2.0,136,136,0,70,68,True,0.6617647058823529,46,90,20.0,20.0,48.529411764705884
cqr_rolling,180min_3of18,combined,bias,0.5,136,136,0,0,68,True,0.17647058823529413,112,24,30.0,90.0,98.08823529411765
cqr_rolling,180min_3of18,combined,bias,1.0,136,136,0,0,68,True,0.34558823529411764,89,47,30.0,30.0,82.72058823529412
cqr_rolling,180min_3of18,combined,bias,2.0,136,136,0,0,68,True,0.375,85,51,30.0,30.0,80.0
cqr_rolling,180min_3of18,combined,level_shift,0.5,136,136,0,0,68,True,0.22058823529411764,106,30,30.0,90.0,94.11764705882354
cqr_rolling,180min_3of18,combined,level_shift,1.0,136,136,0,0,68,True,0.375,85,51,20.0,40.0,77.79411764705883
cqr_rolling,180min_3of18,combined,level_shift,2.0,136,136,0,0,68,True,0.3897058823529412,83,53,20.0,40.0,76.32352941176471
cqr_rolling,180min_3of18,combined,drift,0.5,136,136,0,0,68,True,0.11764705882352941,120,16,40.0,90.0,102.57352941176471
cqr_rolling,180min_3of18,combined,drift,1.0,136,136,0,0,68,True,0.27205882352941174,99,37,40.0,53.999999999999986,91.83823529411765
cqr_rolling,180min_3of18,combined,drift,2.0,136,136,0,0,68,True,0.375,85,51,30.0,60.0,82.13235294117646
cqr_rolling,180min_3of18,numerical_only,random_missing,0.5,136,63,73,73,50,True,0.06,58,5,20.0,30.0,104.6
cqr_rolling,180min_3of18,numerical_only,random_missing,1.0,136,105,31,44,64,True,0.0625,97,8,30.0,76.0,105.546875
cqr_rolling,180min_3of18,numerical_only,random_missing,2.0,136,126,10,15,68,True,0.08823529411764706,114,12,45.0,69.0,104.41176470588235
cqr_rolling,180min_3of18,numerical_only,block_missing,0.5,136,136,0,76,68,True,0.07352941176470588,126,10,50.0,90.0,106.02941176470588
cqr_rolling,180min_3of18,numerical_only,block_missing,1.0,136,136,0,72,68,True,0.08823529411764706,124,12,55.0,108.0,106.02941176470588
cqr_rolling,180min_3of18,numerical_only,block_missing,2.0,136,136,0,68,68,True,0.058823529411764705,128,8,90.0,110.0,108.97058823529412
cqr_rolling,180min_3of18,numerical_only,stuck,0.5,136,136,0,68,68,True,0.07352941176470588,126,10,50.0,90.0,105.73529411764706
cqr_rolling,180min_3of18,numerical_only,stuck,1.0,136,136,0,71,68,True,0.08823529411764706,124,12,55.0,108.0,105.58823529411765
cqr_rolling,180min_3of18,numerical_only,stuck,2.0,136,136,0,68,68,True,0.058823529411764705,128,8,85.0,110.0,108.08823529411765
cqr_rolling,180min_3of18,numerical_only,dropout,0.5,136,136,0,69,68,True,0.22058823529411764,106,30,30.0,90.0,95.1470588235294
cqr_rolling,180min_3of18,numerical_only,dropout,1.0,136,136,0,69,68,True,0.6764705882352942,44,92,30.0,30.0,53.970588235294116
cqr_rolling,180min_3of18,numerical_only,dropout,2.0,136,136,0,70,68,True,0.6617647058823529,46,90,20.0,20.0,48.529411764705884
