model,phase,nested,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
persistence,artifact_reload_and_predict_verification,False,0.10585629999695811,396300288,396320768,351670272,351719424,20480,408772608,4828610560,0.05,0.109375
persistence,tuning,False,0.0007757999992463738,382681088,382697472,339222528,339255296,16384,407572480,4765425664,0.05,0.0
persistence,final_fit,False,0.0005610000007436611,382697472,382697472,339255296,339255296,0,407572480,4765450240,0.05,0.0
persistence,calibration,False,0.003707399999257177,382697472,382758912,339255296,339255296,61440,407572480,4765396992,0.05,0.0
persistence,inference,False,0.004190100000414532,382758912,382758912,339255296,339255296,0,407572480,4765396992,0.05,0.0
persistence,artifact_serialization,False,0.000719700001354795,382742528,382758912,339222528,339255296,16384,407572480,4765396992,0.05,0.0
xgboost,artifact_reload_and_predict_verification,False,0.5013345000043046,411074560,516128768,366292992,540131328,105054208,516128768,4687142912,0.05,0.5
xgboost,tuning,False,2.8498349000001326,388804608,500797440,343326720,522391552,111992832,501764096,4617101312,0.05,2.796875
xgboost,final_fit,False,0.655691800006025,497815552,501153792,519405568,522768384,3338240,501764096,4634046464,0.05,0.640625
xgboost,calibration,False,0.045407899997371715,498827264,498864128,520433664,520433664,36864,501764096,4646092800,0.05,0.046875
xgboost,inference,False,0.09316620000026887,498864128,498868224,520433664,520450048,4096,501764096,4646092800,0.05,0.09375
xgboost,artifact_serialization,False,0.006242700001166668,498864128,498876416,520400896,520433664,12288,501764096,4646899712,0.05,0.015625
attention_lstm,artifact_reload_and_predict_verification,False,0.7005658999987645,517591040,536707072,541401088,585830400,19116032,536707072,4666937344,0.05,0.6875
attention_lstm,tuning,False,61.08946960000321,496885760,625467392,520577024,663908352,128581632,627056640,4466053120,0.05,59.171875
attention_lstm,final_fit,False,14.463546699997096,622952448,623575040,660168704,661254144,622592,627056640,4573569024,0.05,14.140625
attention_lstm,calibration,False,0.18376969999371795,610992128,613031936,649433088,652800000,2039808,627056640,4632596480,0.05,0.171875
attention_lstm,inference,False,0.3676936000047135,613027840,614244352,652783616,654143488,1216512,627056640,4631588864,0.05,0.359375
attention_lstm,artifact_serialization,False,0.004890600001090206,617762816,617922560,657391616,657424384,159744,627056640,4630663168,0.05,0.0
