model,nominal_level,n_calibration,n_evaluation,rank,q,coverage,mpiw,winkler,negative_lower_bounds,verified
persistence,0.9,4952,9907,4458,0.0390625,0.5711113354194004,0.078125,2.1860568915918046,64,True
persistence,0.95,4952,9907,4706,0.0625,0.6392449782981731,0.125,3.9634475623296628,80,True
xgboost,0.9,4952,9907,4458,0.09922274947166443,0.6820429998990613,0.19844549894332886,1.553191707195494,115,True
xgboost,0.95,4952,9907,4706,0.1301008015871048,0.7359442818209347,0.2602016031742096,2.6116582523522616,2230,True
attention_lstm,0.9,4952,9907,4458,0.06616690754890442,0.5655597052589079,0.13233381509780884,1.787407805721828,0,True
attention_lstm,0.95,4952,9907,4706,0.0929659903049469,0.6591299081457556,0.1859319806098938,3.0860990094370835,24,True
