model,mae,rmse,n,negative_predictions,verified
persistence,0.13126135560714647,0.257541502923049,9907,0,True
xgboost,0.1194715031413368,0.22614617294253928,9907,0,True
attention_lstm,0.12752749631524482,0.2402362233179673,9907,0,True
