model,mae,rmse,n,negative_predictions,verified
persistence,0.7156750038837967,1.041377894828978,6437,0,True
xgboost,1.1955028583123037,1.788193478359507,6437,0,True
attention_lstm,2.636271101528024,3.1143982277118103,6437,0,True
