role,n,maximum_prediction_difference,owner_sha256
calibration,3927,0.0,ec0a9310bd9788f385341449dc9c8c7f3a007ea93cd7036afbb1fe876ff5822f
test,7667,0.0,ec0a9310bd9788f385341449dc9c8c7f3a007ea93cd7036afbb1fe876ff5822f
