part,bytes,sha256,members,uncompressed_bytes
core.zip,23527087,d3dea78d8dcb10fd7a5e5232019d6126b156982f58fefe6a76f8b171d7f5a5b3,85,47864231
contexts_01_08.zip,63919474,07841a7dbae4237f4a18d091d4020db2ff95d9b2375f077560a82008ccbe883f,15057,61728453
contexts_09_16.zip,63202355,2e0097d87ee7332b859dabb3cfd098ed8f850c352b2b300197a54d57f5500731,15057,61013364
contexts_17_24.zip,63960910,55ff2d6bc84e2aa818cafbc2f33dadbafa017f8a1c02084f68b7fe62721e6041,15057,61771272
contexts_25_32.zip,63335194,567969cc97060bec4c00e616ddfdd05da154d1e5a2af5a7f65ea8efce6076d32,15002,61149123
contexts_33_40.zip,63238542,e755ef6e6212302bf79a76072a7ddcac4aecabc6f0ae92b65c55b79e212c0275,15222,61028658
contexts_41_48.zip,61883027,475f14fad2307c67297ae354fd824c2e8fdcba775dd28628816cb7af05ca747d,14672,59746982
contexts_49_56.zip,64122807,0af630969f68433688844e4bdc219e33f4b36a2980ee72dfe136ba6d9228f36c,15002,61936992
contexts_57_64.zip,62552272,533e61fb96279219136f5b6e940781eb4cee977680df5b4b8290a2b56c647c2b,14947,60380492
contexts_65_68.zip,31494045,e7c072757403f7ecd00261db23d89f44690f0981b1d2ba9d75948ae4cc14fb86,7611,30391361
