model,mae,rmse,n,negative_predictions,verified
persistence,18.105949944978573,38.39896815958996,34532,0,True
xgboost,16.53965609228682,32.87757672469714,34532,4,True
attention_lstm,16.457135391162176,32.52264589772589,34532,4066,True
