epoch,train_mse,validation_mae
1,0.5523696695962096,1.5682168846673838
2,0.19986634799882932,1.2856529689502438
3,0.17740778199220963,1.25921225758337
4,0.16823494712596013,1.239422970930109
5,0.16092591070341103,1.230943789621357
6,0.1521011024466594,1.2280037569568485
7,0.14478735380628271,1.188072655014743
8,0.1323441629055908,1.1806685910316939
9,0.12258803296103626,1.180936688838179
10,0.1145993672823971,1.169799093820958
11,0.10516308793530653,1.1997823113345782
12,0.09962049001206578,1.2034434150394386
13,0.09353175076740829,1.2074582152816156
14,0.09120433901784708,1.2193436826999062
15,0.08732599299448096,1.2592325694683622
