stage,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
dscp_assignment_000000_000064,0.2600677000009455,574046208,574263296,656744448,656834560,217088,714153984,2738044928,0.05,0.265625
dscp_assignment_000064_000576,2.1309939000057057,574242816,574271488,656785408,656834560,28672,714153984,2720247808,0.05,2.078125
dscp_assignment_000576_001088,2.2364545999880647,574251008,574271488,656785408,656834560,20480,714153984,2734309376,0.05,2.125
dscp_assignment_001088_001600,2.1832280000089668,574251008,574271488,656785408,656834560,20480,714153984,2685759488,0.05,2.15625
dscp_assignment_001600_002112,2.183404600000358,574251008,574271488,656785408,656834560,20480,714153984,2686926848,0.05,2.140625
dscp_assignment_002112_002624,2.2318149999919115,574251008,574271488,656785408,656834560,20480,714153984,2715107328,0.05,2.09375
dscp_assignment_002624_003136,2.2043361000105506,574251008,574271488,656785408,656834560,20480,714153984,2714157056,0.05,2.15625
dscp_assignment_003136_003648,2.3575459999992745,574251008,574271488,656785408,656834560,20480,714153984,2692923392,0.05,2.25
dscp_assignment_003648_004160,2.262282399999094,574251008,574271488,656785408,656834560,20480,714153984,2733703168,0.05,2.140625
dscp_assignment_004160_004672,2.2786813999991864,574251008,574271488,656785408,656834560,20480,714153984,2739265536,0.05,2.15625
dscp_assignment_004672_005184,2.3315913999977056,574251008,574271488,656785408,656834560,20480,714153984,2739798016,0.05,2.28125
dscp_assignment_005184_005696,2.273322900000494,574251008,574271488,656785408,656834560,20480,714153984,2729644032,0.05,2.1875
dscp_assignment_005696_006208,2.1597400000027847,574251008,574271488,656785408,656834560,20480,714153984,2728472576,0.05,2.125
dscp_assignment_006208_006437,0.9912959000066621,574251008,574271488,656785408,656834560,20480,714153984,2735050752,0.05,0.9375
dscp_fit,0.5694684000045527,573554688,606064640,623112192,688861184,32509952,714153984,2713300992,0.05,0.578125
dscp_joint,4.36268539998855,542412800,653271040,595144704,721305600,110858240,714153984,2635341824,0.05,4.15625
historical_h15,2.2535093000042252,573980672,585785344,624226304,647475200,11804672,609464320,2272956416,0.05,2.1875
historical_h30,2.1519372000038857,576954368,588980224,626933760,650186752,12025856,609464320,2170957824,0.05,2.0625
historical_h5,2.574737400005688,458612736,576950272,409702400,609800192,118337536,578199552,2273652736,0.05,2.484375
historical_h60,1.9798243999975966,572162048,583618560,621842432,645066752,11456512,609464320,2378813440,0.05,1.859375
owner_cal_h15_cqr_l90,0.6682925000059186,575528960,577265664,625201152,626987008,1736704,609464320,2365202432,0.05,0.65625
owner_cal_h15_cqr_l95,0.5474622000037925,577253376,578994176,626524160,628310016,1740800,609464320,2311340032,0.05,0.5
owner_cal_h15_enbpi,0.7915475000045262,577257472,582819840,626524160,632127488,5562368,609464320,2335604736,0.05,0.765625
owner_cal_h30_cqr_l90,0.5775630999996793,576413696,578019328,626348032,628006912,1605632,609464320,2211315712,0.05,0.578125
owner_cal_h30_cqr_l95,0.6090417000086745,575086592,576700416,625016832,626675712,1613824,609464320,2206760960,0.05,0.5625
owner_cal_h30_enbpi,1.0572346999979345,574697472,581701632,623964160,631140352,7004160,609464320,1890889728,0.05,0.984375
owner_cal_h5_cqr_l90,0.5814298000041163,575451136,577314816,592441344,594313216,1863680,589606912,2283278336,0.05,0.546875
owner_cal_h5_cqr_l95,0.6003082000097493,575332352,577150976,591880192,593752064,1818624,591396864,2281103360,0.05,0.5625
owner_cal_h5_enbpi,0.767227800010005,577060864,582778880,592822272,598585344,5718016,595894272,2294521856,0.05,0.765625
owner_cal_h60_cqr_l90,0.516343199997209,572620800,573976576,622219264,623616000,1355776,609464320,2229350400,0.05,0.484375
owner_cal_h60_cqr_l95,0.512885300006019,572624896,573984768,622219264,623616000,1359872,609464320,2675290112,0.05,0.484375
owner_cal_h60_enbpi,0.6385250999883283,572633088,577400832,622219264,627023872,4767744,609464320,2626846720,0.05,0.609375
owner_fit_h15_cqr_l90,11.072373699993477,579604480,591134720,629329920,640868352,11530240,609464320,2275270656,0.05,10.859375
owner_fit_h15_cqr_l95,10.8323989000055,580390912,590774272,629694464,640102400,10383360,609464320,2227449856,0.05,10.578125
owner_fit_h15_enbpi,1.7063972999894759,581197824,593543168,630480896,642871296,12345344,609464320,2335096832,0.05,1.671875
owner_fit_h30_cqr_l90,12.667140599995037,581672960,592379904,631656448,642482176,10706944,609464320,2142056448,0.05,12.09375
owner_fit_h30_cqr_l95,11.878888399995049,580022272,590209024,629964800,640188416,10186752,609464320,2181300224,0.05,11.578125
owner_fit_h30_enbpi,1.8402248000056716,579354624,590962688,628629504,640290816,11608064,609464320,2032861184,0.05,1.75
owner_fit_h5_cqr_l90,11.158380599998054,573120512,589606912,591036416,606687232,16486400,589606912,2252726272,0.05,10.84375
owner_fit_h5_cqr_l95,11.412695799997891,578719744,591396864,595279872,608002048,12677120,591396864,2229460992,0.05,11.015625
owner_fit_h5_enbpi,1.6720344000059413,580472832,594030592,596967424,609865728,13557760,595894272,2279079936,0.05,1.703125
owner_fit_h60_cqr_l90,13.286477999994531,576131072,580468736,625795072,630099968,4337664,609464320,2096775168,0.05,12.84375
owner_fit_h60_cqr_l95,11.273781199997757,576544768,580476928,626135040,630095872,3932160,609464320,2279505920,0.05,10.828125
owner_fit_h60_enbpi,1.6219454999954905,576544768,586608640,626135040,636248064,10063872,609464320,2628579328,0.05,1.546875
preparation_h15,0.0005060999974375591,573980672,573997056,624226304,624259072,16384,609464320,2310574080,0.05,0.0
preparation_h30,0.0005821999948238954,576954368,576970752,626933760,626966528,16384,609464320,2197864448,0.05,0.0
preparation_h5,0.0007912000000942498,458604544,458629120,409702400,409735168,24576,489590784,2412572672,0.05,0.0
preparation_h60,0.0005079999973531812,572162048,572178432,621842432,621875200,16384,609464320,2426974208,0.05,0.0
raw_h15_cqr_l90,3.8817852000065614,574427136,581869568,624111616,631595008,7442432,609464320,2280837120,0.05,3.796875
raw_h15_cqr_l95,3.88632969999162,576151552,579547136,625434624,628867072,3395584,609464320,2318893056,0.05,3.734375
raw_h15_enbpi,1.6374522999976762,576172032,598712320,625434624,648462336,22540288,609464320,2329247744,0.05,1.609375
raw_h30_cqr_l90,3.4276375000044936,576393216,579543040,626348032,629534720,3149824,609464320,2197508096,0.05,3.359375
raw_h30_cqr_l95,3.6386353999987477,575074304,581955584,625016832,631951360,6881280,609464320,2203213824,0.05,3.515625
raw_h30_enbpi,1.7439434999978403,574697472,593936384,623964160,643264512,19238912,609464320,1925832704,0.05,1.59375
raw_h5_cqr_l90,4.076228899997659,574341120,582139904,591294464,599150592,7798784,589606912,2202820608,0.05,3.984375
raw_h5_cqr_l95,3.9063486000086414,574169088,577740800,590733312,594341888,3571712,591396864,2271727616,0.05,3.8125
raw_h5_enbpi,1.6811774999951012,575918080,598401024,591675392,648335360,22482944,600129536,2244485120,0.05,1.640625
raw_h60_cqr_l90,3.3533959000051254,572608512,575246336,622219264,624902144,2637824,609464320,2245148672,0.05,3.171875
raw_h60_cqr_l95,3.6240508000046248,572616704,575266816,622219264,624902144,2650112,609464320,2650980352,0.05,3.546875
raw_h60_enbpi,0.8291782000014791,572633088,588791808,622219264,638435328,16158720,609464320,2629521408,0.05,0.828125
seasonal_not_applicable_h15,0.002282900008140132,574570496,574586880,624283648,624316416,16384,609464320,2301472768,0.05,0.0
seasonal_not_applicable_h30,0.003175499994540587,577015808,577032192,626991104,627023872,16384,609464320,2182721536,0.05,0.015625
seasonal_not_applicable_h5,0.0032128000020748004,567836672,567857152,585744384,585777152,20480,578199552,2266505216,0.05,0.0
seasonal_not_applicable_h60,0.002996099996380508,572219392,572235776,621879296,621912064,16384,609464320,2417221632,0.05,0.0
stream_h15_l90_cqr,2.8866850000049453,575356928,578760704,624648192,628084736,3403776,609464320,2252410880,0.05,2.796875
stream_h15_l90_dscp,1.6329836000077194,573210624,573235200,655732736,659251200,24576,714153984,2709692416,0.05,1.59375
stream_h15_l90_quantile_uncalibrated,2.5497228000022005,574754816,578183168,624111616,627552256,3428352,609464320,2334466048,0.05,2.484375
stream_h15_l90_recentred_enbpi_static,2.353795799994259,576172032,579575808,625434624,628871168,3403776,609464320,2300723200,0.05,2.34375
stream_h15_l90_recentred_enbpi_updated,6.208784600006766,576172032,582656000,625434624,632020992,6483968,609464320,2193780736,0.05,6.0625
stream_h15_l95_cqr,2.5222748999949545,576163840,579739648,625434624,629047296,3575808,609464320,2354511872,0.05,2.46875
stream_h15_l95_dscp,1.642006100009894,573214720,573235200,655732736,655781888,20480,714153984,2761768960,0.05,1.578125
stream_h15_l95_quantile_uncalibrated,2.704854300012812,576143360,579678208,625434624,628985856,3534848,609464320,2355589120,0.05,2.6875
stream_h15_l95_recentred_enbpi_static,2.6431943000061437,578203648,581607424,627535872,630976512,3403776,609464320,2208616448,0.05,2.546875
stream_h15_l95_recentred_enbpi_updated,5.609698200001731,578203648,582893568,627535872,632193024,4689920,609464320,2201022464,0.05,5.5
stream_h30_l90_cqr,2.350041699988651,576413696,579567616,626348032,629538816,3153920,609464320,2231001088,0.05,2.234375
stream_h30_l90_dscp,1.5736554000031902,573210624,576696320,655732736,659251200,3485696,714153984,2712944640,0.05,1.46875
stream_h30_l90_quantile_uncalibrated,2.160812400004943,576393216,579567616,626348032,629538816,3174400,609464320,2190884864,0.05,2.109375
stream_h30_l90_recentred_enbpi_static,2.7484621000039624,574697472,577851392,623964160,627150848,3153920,609464320,1967386624,0.05,2.609375
stream_h30_l90_recentred_enbpi_updated,7.001035799999954,574697472,579620864,623964160,629256192,4923392,609464320,1868709888,0.05,6.65625
stream_h30_l95_cqr,2.6745362000074238,574697472,577851392,623964160,627154944,3153920,609464320,2151944192,0.05,2.59375
stream_h30_l95_dscp,1.4813062000030186,573214720,573235200,655732736,655781888,20480,714153984,2769104896,0.05,1.4375
stream_h30_l95_quantile_uncalibrated,2.7373225999908755,574672896,577839104,623964160,627150848,3166208,609464320,2197708800,0.05,2.640625
stream_h30_l95_recentred_enbpi_static,2.803136299990001,575426560,578580480,625016832,628203520,3153920,609464320,2093395968,0.05,2.703125
stream_h30_l95_recentred_enbpi_updated,5.805688700012979,575426560,579629056,625016832,629252096,4202496,609464320,2233659392,0.05,5.546875
stream_h5_l90_cqr,2.8252089000015985,573440000,577011712,589987840,593600512,3571712,589606912,2244304896,0.05,2.8125
stream_h5_l90_dscp,1.736009100000956,574251008,574279680,656785408,656834560,28672,714153984,2720501760,0.05,1.59375
stream_h5_l90_quantile_uncalibrated,3.106865800000378,573181952,577011712,589987840,593600512,3829760,589606912,2238971904,0.05,3.0
stream_h5_l90_recentred_enbpi_static,3.0581862999970326,576028672,579600384,625299456,628912128,3571712,600129536,2275663872,0.05,2.953125
stream_h5_l90_recentred_enbpi_updated,6.516818599993712,576032768,582561792,625299456,632061952,6529024,600129536,2298351616,0.05,6.375
