unit_key,model_seed,dataset,physical_target,outer_fold,horizon,sampling,confidence_level,controls,rules,channels,contexts,scheduled_fault_slots,fault_schedule_replicates,fit_rows,calibration_rows,outer_test_rows,rolling_every,rolling_window,rolling_min_samples,endpoint,selection,execution_authorized,feature_hash,outcome_hash,context_hash,schedule_hash,cache_sha256,data_identity_matches_seed42,source_inputs_match_seed42,design_files_byte_match_seed42,draft_protocol_sha256,draft_passed
pleia_f2_s43_C_v1,43,pleia,temperature_C,2,1,0 days 00:10:00,0.95,quantile_static;cqr_static;cqr_rolling;persistence_static,single_sample;30min_3of3;60min_4of6;180min_3of18;360min_4of36,numerical_only;availability_only;combined,68,2856,42;43,14855,4954,9907,24,250,50,C_effective_fault_conditional_context,none,False,0d2b9fc4f7d838b4494cd7ee87043cd5566d3ea97a3763a4457e2e659c84669b,8d7cc6737196c8c9ea21476b120d7654911f82a9935a9f3064ef91c9e2dd039c,d5be5f7249af198e272060f315d2ed5d3fbee92d03972180c3debf2135f628ef,5b56af8c3c06230e97eb9b7f8cf908608b9a62973afdb2d2372f3170fdb1a5f9,f64cfd7d464b4db0af365ac9a5bc1c09f8abc8c8d5a352ba153caab976810673,True,True,True,9fa21b41559adb38f0285a5b83863ea19d02df9e3590e8c288a1e95c0185206a,True
pleia_f2_s44_C_v1,44,pleia,temperature_C,2,1,0 days 00:10:00,0.95,quantile_static;cqr_static;cqr_rolling;persistence_static,single_sample;30min_3of3;60min_4of6;180min_3of18;360min_4of36,numerical_only;availability_only;combined,68,2856,42;43,14855,4954,9907,24,250,50,C_effective_fault_conditional_context,none,False,0d2b9fc4f7d838b4494cd7ee87043cd5566d3ea97a3763a4457e2e659c84669b,8d7cc6737196c8c9ea21476b120d7654911f82a9935a9f3064ef91c9e2dd039c,d5be5f7249af198e272060f315d2ed5d3fbee92d03972180c3debf2135f628ef,5b56af8c3c06230e97eb9b7f8cf908608b9a62973afdb2d2372f3170fdb1a5f9,f64cfd7d464b4db0af365ac9a5bc1c09f8abc8c8d5a352ba153caab976810673,True,True,True,cf0f5f2f8544fea6e9e36eedea0b1e9a4836f0999c8d5dc963edc2fb13ec90ed,True
pleia_f2_s45_C_v1,45,pleia,temperature_C,2,1,0 days 00:10:00,0.95,quantile_static;cqr_static;cqr_rolling;persistence_static,single_sample;30min_3of3;60min_4of6;180min_3of18;360min_4of36,numerical_only;availability_only;combined,68,2856,42;43,14855,4954,9907,24,250,50,C_effective_fault_conditional_context,none,False,0d2b9fc4f7d838b4494cd7ee87043cd5566d3ea97a3763a4457e2e659c84669b,8d7cc6737196c8c9ea21476b120d7654911f82a9935a9f3064ef91c9e2dd039c,d5be5f7249af198e272060f315d2ed5d3fbee92d03972180c3debf2135f628ef,5b56af8c3c06230e97eb9b7f8cf908608b9a62973afdb2d2372f3170fdb1a5f9,f64cfd7d464b4db0af365ac9a5bc1c09f8abc8c8d5a352ba153caab976810673,True,True,True,13bd11819fdd47e4fb49f4278e1d8abd08b1af5993a8085cc712198093388914,True
pleia_f2_s46_C_v1,46,pleia,temperature_C,2,1,0 days 00:10:00,0.95,quantile_static;cqr_static;cqr_rolling;persistence_static,single_sample;30min_3of3;60min_4of6;180min_3of18;360min_4of36,numerical_only;availability_only;combined,68,2856,42;43,14855,4954,9907,24,250,50,C_effective_fault_conditional_context,none,False,0d2b9fc4f7d838b4494cd7ee87043cd5566d3ea97a3763a4457e2e659c84669b,8d7cc6737196c8c9ea21476b120d7654911f82a9935a9f3064ef91c9e2dd039c,d5be5f7249af198e272060f315d2ed5d3fbee92d03972180c3debf2135f628ef,5b56af8c3c06230e97eb9b7f8cf908608b9a62973afdb2d2372f3170fdb1a5f9,f64cfd7d464b4db0af365ac9a5bc1c09f8abc8c8d5a352ba153caab976810673,True,True,True,4d4b08506e4fb4810da211ccf2eac5f82c7d423cdf70108deb802204e0f4339e,True
