dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,new_batch_unit,model,group_id,nominal_level,aggregation,n,mae,rmse,coverage,mpiw,winkler,negative_points,negative_lower_bounds,phase,historical_training_use
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S6,0.9,"within original group, sample weighted",187,0.12352941176470585,0.15971230819938165,1.0,2.0,2.0,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S7,0.9,"within original group, sample weighted",187,0.2978609625668448,0.3863306056972391,0.9786096256684492,2.0,2.042780748663101,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S8,0.9,"within original group, sample weighted",187,0.06684491978609618,0.11305197328265265,1.0,2.0,2.0,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S9,0.9,"within original group, sample weighted",187,0.42406417112299477,0.7188448844600889,0.8609625668449198,2.0,3.967914438502675,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S10,0.9,"within original group, sample weighted",187,0.13529411764705884,0.1979844967732749,1.0,2.0,2.0,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S11,0.9,"within original group, sample weighted",187,0.09037433155080196,0.13503812097939977,1.0,2.0,2.0,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S12,0.9,"within original group, sample weighted",187,0.5679144385026738,0.7014118687516404,0.8502673796791443,2.0,3.155080213903744,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S13,0.9,"within original group, sample weighted",187,0.8219251336898395,0.9783484938410594,0.7165775401069518,2.0,5.18716577540107,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S14,0.9,"within original group, sample weighted",187,0.27219251336898415,0.2814211451944699,1.0,2.0,2.0,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S15,0.9,"within original group, sample weighted",187,0.49839572192513387,0.6857604389866365,0.8609625668449198,2.0,3.379679144385027,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S16,0.9,"within original group, sample weighted",187,1.0336898395721925,1.2344649623685187,0.6470588235294118,2.0,7.7326203208556175,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S17,0.9,"within original group, sample weighted",187,0.07112299465240644,0.09045340337332908,1.0,2.0,2.0,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S18,0.9,"within original group, sample weighted",187,0.6385026737967914,0.9080742978860725,0.7967914438502673,2.0,5.101604278074867,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S19,0.9,"within original group, sample weighted",187,0.4224598930481282,0.5543218625245873,0.9144385026737968,2.0,2.438502673796792,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S20,0.9,"within original group, sample weighted",187,0.08930481283422442,0.14085301627055552,1.0,2.0,2.0,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S21,0.9,"within original group, sample weighted",187,0.3754010695187166,0.4552721463835969,0.9946524064171123,2.0,2.0106951871657754,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S22,0.9,"within original group, sample weighted",187,0.08449197860962558,0.09701425001453311,1.0,2.0,2.0,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S23,0.9,"within original group, sample weighted",187,0.49411764705882355,0.5145996834672549,1.0,2.0,2.0,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S24,0.9,"within original group, sample weighted",187,0.16684491978609628,0.20631734032743373,1.0,2.0,2.0,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S25,0.9,"within original group, sample weighted",187,0.5106951871657754,0.5891623710533801,0.9090909090909091,2.0,2.2245989304812834,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S26,0.9,"within original group, sample weighted",187,0.2796791443850268,0.38963852712248803,0.9786096256684492,2.0,2.0427807486631018,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S27,0.9,"within original group, sample weighted",187,0.23315508021390402,0.31214284403172526,1.0,2.0,2.0,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S28,0.9,"within original group, sample weighted",187,0.2700534759358289,0.3921011546884571,0.9732620320855615,2.0000000000000004,2.064171122994652,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S29,0.9,"within original group, sample weighted",187,0.18128342245989315,0.20199539360449098,1.0,2.0,2.0,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S30,0.9,"within original group, sample weighted",187,0.9946524064171123,1.2212468424800038,0.6417112299465241,2.0,7.893048128342248,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S31,0.9,"within original group, sample weighted",187,0.8181818181818182,1.1465362857517658,0.7272727272727273,2.0,7.240641711229948,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S32,0.9,"within original group, sample weighted",187,0.3267379679144387,0.5258555544739668,0.9144385026737968,2.0,2.6631016042780753,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S33,0.9,"within original group, sample weighted",187,0.2524064171122995,0.3219260219931958,1.0,2.0,2.0,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P4S34,0.9,"within original group, sample weighted",187,0.8283422459893047,1.0171523634546022,0.7593582887700535,2.0,5.497326203208556,0,0,4.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P1S101,0.95,"within original group, sample weighted",187,0.279144385026738,0.30257363093805356,1.0,3.0,3.0,0,0,1.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P3S0,0.95,"within original group, sample weighted",187,1.0903743315508023,1.3271133887215756,0.7540106951871658,3.0,10.294117647058819,0,0,3.0,True
rico,30,2,44,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d77ff883b70c530d7ef4a845d9f8bb9579906f566e5c281d2756cae0377e97b9,True,persistence,P3S1,0.95,"within original group, sample weighted",187,0.20909090909090922,0.21828206253269974,1.0,3.0,3.0,0,0,3.0,True
