part,bytes,sha256,members,uncompressed_bytes
core.zip,22292534,0ecb5edec67087827f9d87e231a317d41f8ace43c541943bedb0e9e2a25dc512,85,45451869
contexts_01_08.zip,60984867,a264e00fd7addbbb1eaba6343081b3dbb657726e34fa366d7a3033aa3ce3f7f7,14837,58869989
contexts_09_16.zip,62441756,473617a6f46608a00276004eb771d268dbc3176b398396b6d8da7373bcbe39fe,15112,60289064
contexts_17_24.zip,61678601,054663b51fb7622d2e46006df21415d2c8416dd46183a7fbe42303c08bbd0aa0,14947,59551027
contexts_25_32.zip,62050094,0b3a2b295596d96ea018de40cfa7f0dec91829babf6b1523a823b9c7df3e2296,15002,59910367
contexts_33_40.zip,62723144,bf78b297b19ebbfaf5ca635857c8ae9e69338d5a877d4b5704561a2904b6378e,15167,60559175
contexts_41_48.zip,61736596,be41fb95446fa2adaa8a98d005db6c7104e372f0a5b23fcdad8aa49354ae077e,14947,59607777
contexts_49_56.zip,60627552,37b0cdbd989aa7dc0e9a1408a2f1b73481a8f8e764c1241bdf4bf58a32c463cf,14727,58530953
contexts_57_64.zip,61513586,ea8650455c1d042853901a726f9aef738aa888dd797df1dc3c8b002bea249233,14947,59388835
contexts_65_68.zip,30452814,0fbde2acfcdcbd25a1bdc051d4eb5e48512635920562dd6ade185a917c86197f,7391,29397527
