model,nominal_level,n_calibration,n_evaluation,rank,q,coverage,mpiw,winkler,negative_lower_bounds,verified
persistence,0.9,4953,9907,4459,0.0390625,0.5603108912889876,0.078125,2.097025777228223,64,True
persistence,0.95,4953,9907,4707,0.0625,0.6428787725850409,0.125,3.783587362470977,80,True
xgboost,0.9,4953,9907,4459,0.11365668475627899,0.6798223478348643,0.22731336951255798,1.502187885233477,799,True
xgboost,0.95,4953,9907,4707,0.24234873056411743,0.8275966488341576,0.48469746112823486,1.8003877541534437,5398,True
attention_lstm,0.9,4953,9907,4459,0.07859387993812561,0.5181185020692439,0.15718775987625122,1.7057790969387245,0,True
attention_lstm,0.95,4953,9907,4707,0.09870514273643494,0.6073483395578884,0.19741028547286987,2.944458366445108,6,True
