dataset,inner_banks,supported_inner_banks,supported_outer_banks,minimum_inner_strata,maximum_inner_strata,minimum_inner_effective_events,maximum_inner_effective_events,min_inner_original_units,model_fits,performance_measured,global_study_ready
pleia,6,0,1,9,20,64,124,60,0,False,False
pleia_energy,6,0,0,9,20,64,125,60,0,False,False
rico,6,0,0,0,0,14,15,38,0,False,False
bdg2,6,6,3,21,21,1268,2548,10,0,False,False
