dataset,command_seconds,process_cpu_seconds,preparation_seconds,preparation_peak_rss_MiB,action_peak_rss_MiB,lifetime_peak_rss_MiB,validation_seconds,resume_seconds,output_bytes,audit_bytes
rico,183.9655797000014,175.53125,9.977189700002782,436.96875,620.03125,621.87890625,29.740991400001803,27.2860920000021,9176401,10519
bdg2,1587.3503964999982,1443.109375,14.909311800001888,920.41796875,920.23046875,983.93359375,45.197543100002804,24.64343419999932,34653755,10609
