dataset,model,tuning_seconds,final_fit_seconds,calibration_seconds,inference_seconds,model_phase_seconds,process_cpu_seconds,inference_rows_per_second,baseline_rss_MiB,peak_rss_MiB,incremental_peak_rss_MiB,artifact_serialization_seconds,launch_ram_GiB,launch_3GiB_reference_met
rico,persistence,0.0,0.0005201999956625514,0.003924500000721309,0.003927400000975467,0.008372099997359328,0.015625,2213169.017121028,412.7890625,412.953125,0.1640625,0.0007771000018692575,3.0759353637695312,True
rico,xgboost,3.8201040999992983,1.6232746000023326,0.1166499000028125,0.20028820000152336,5.760316800005967,5.484375,43397.4642536799,411.984375,524.24609375,112.26171875,0.009555500000715256,3.073333740234375,True
rico,attention_lstm,114.35792370000127,42.65705210000306,0.23083839999890188,0.4855965999959153,157.73141079999914,151.984375,17899.631093119504,513.94140625,620.03125,106.08984375,0.010740500001702458,2.6918678283691406,False
bdg2,persistence,0.0,0.0006069000010029413,0.008299599998281337,0.01850469999772031,0.027411199997004587,0.03125,1871956.8544352236,431.0390625,431.62109375,0.58203125,0.0007585999992443249,3.7395477294921875,True
bdg2,xgboost,6.686444899998605,2.725211199998739,0.20948499999940395,0.4154615000006743,10.036602599997423,9.671875,83377.16009773176,433.23828125,548.1796875,114.94140625,0.007207299997389782,3.718303680419922,True
bdg2,attention_lstm,618.0770438999971,901.5987344000023,3.222609399999783,6.60562629999913,1529.5040139999983,1391.421875,5244.014485046567,538.58984375,650.3828125,111.79296875,0.008678900005179457,3.6121292114257812,True
