dataset,model,nominal_level,groups,aggregation,mae,coverage,mpiw,winkler,root_mean_group_mse
bdg2,attention_lstm,0.9,10,equal-original-group diagnostic,19.17439084292692,0.9028720536201055,98.60187109374942,176.33132778285625,35.98317113227494
bdg2,attention_lstm,0.95,10,equal-original-group diagnostic,19.17439084292692,0.9497822912546635,141.03879687500006,236.6738109731648,35.98317113227494
bdg2,persistence,0.9,10,equal-original-group diagnostic,20.947362168612568,0.8952452136359262,115.80600000000075,207.12505286318105,41.61243200970418
bdg2,persistence,0.95,10,equal-original-group diagnostic,20.947362168612568,0.9469343110949577,165.40000000000003,273.3481909816455,41.61243200970418
bdg2,xgboost,0.9,10,equal-original-group diagnostic,17.72403989658674,0.9040519097352135,93.58798510742191,171.92185993404215,34.90839734920384
bdg2,xgboost,0.95,10,equal-original-group diagnostic,17.72403989658674,0.9479981185927929,135.84407348632817,232.2860576907479,34.90839734920384
rico,attention_lstm,0.9,41,equal-original-group diagnostic,2.2230605132449237,0.16682006442705935,1.3618728637695339,33.32642641677539,2.7022933970463536
rico,attention_lstm,0.95,41,equal-original-group diagnostic,2.2230605132449237,0.18810400368154626,1.5061462402343724,63.06255947732726,2.7022933970463536
rico,persistence,0.9,41,equal-original-group diagnostic,0.07447077772664519,0.9282098481362172,0.3999999999999986,0.601334560515417,0.12451008457023498
rico,persistence,0.95,41,equal-original-group diagnostic,0.07447077772664519,0.9723884031293144,0.6000000000000014,0.7808559595029918,0.12451008457023498
rico,xgboost,0.9,41,equal-original-group diagnostic,0.24349519415380108,0.5679935572940634,0.3424011230468764,2.866583804759457,0.41148572415493
rico,xgboost,0.95,41,equal-original-group diagnostic,0.24349519415380108,0.7346985734008283,0.5625030517578153,4.111477070934352,0.41148572415493
