epoch,train_mse,validation_mae
1,0.226198296736341,2.6008499558282163
2,0.08876455010247315,2.4973217605016322
3,0.07147429393720049,2.3174672703672226
4,0.05610489465525691,2.1376193803483234
5,0.04528547389595452,1.8848198434497223
6,0.03878575233702164,1.961011690413349
7,0.03499144047822151,1.9333664147586964
8,0.03196876687098789,1.9537555945248082
9,0.02799790287178794,1.9559520785353959
10,0.02610811705126087,1.741836962281629
11,0.02419840536958969,1.8977280299574741
12,0.02310420205456509,1.880144562070998
13,0.022432886139837134,1.9216615775260335
14,0.021863158808429695,1.8701147015741881
15,0.0206564896989657,1.7840659230390976
