dataset,horizon,outer_fold,seed,model,estimator_class,evidence_status,mae,rmse,n_fit,n_calibration,n_evaluation,tuning_seconds,final_fit_seconds,calibration_seconds,inference_seconds,inference_batch_size,inference_rows_per_second,selected_candidate,final_epochs,status,baseline_rss_bytes,peak_rss_bytes,peak_private_bytes
pleia,1,0,42,persistence,src.pilot_forecasters.Persistence,pilot,0.20377510850913494,0.3274649132433441,29719,9907,9907,0.0,0.0004923999986203853,0.0053952000016579404,0.0040239000009023584,256,2462039.3145402116,0,,complete,410374144,410468352,369774592
pleia,1,0,42,xgboost,xgboost.sklearn.XGBRegressor,pilot,0.2445261592639736,0.353309709615502,29719,9907,9907,4.353503899998032,1.2833855000026233,0.10583609999957844,0.1025798999980907,256,96578.3745176628,0,,complete,412602368,526725120,548229120
pleia,1,0,42,attention_lstm,src.attention_lstm.AttentionLSTM,pilot,0.3610993958751694,0.48662172202262477,29719,9907,9907,252.91565009999977,82.52771489999941,0.3792401999999129,0.3653656000024057,256,27115.30587426613,0,20.0,complete,508956672,714498048,681340928
pleia,3,0,42,persistence,src.pilot_forecasters.Persistence,pilot,0.3773493489451903,0.6099061114818022,29715,9906,9907,0.0,0.000872299999173265,0.005169799998839153,0.004166999999142718,256,2377489.801305059,0,,complete,693739520,693755904,651010048
pleia,3,0,42,xgboost,xgboost.sklearn.XGBRegressor,pilot,0.5612760152419208,0.7298684172914721,29715,9906,9907,4.189542000000074,1.2421013999992283,0.10141920000023674,0.10132490000250982,256,97774.58452714588,0,,complete,692441088,702578688,660180992
pleia,3,0,42,attention_lstm,src.attention_lstm.AttentionLSTM,pilot,0.6531397834824808,0.8792127260205383,29715,9906,9907,241.38085390000003,68.47716389999994,0.5106491000000233,0.5225679000000127,256,18958.301878090406,0,14.0,complete,422682624,543645696,515510272
pleia,6,0,42,persistence,src.pilot_forecasters.Persistence,pilot,0.5481174926819421,0.8776005350395164,29710,9904,9907,0.0,0.00041840000005777256,0.005260300000031748,0.004077300000062678,256,2429794.226534154,0,,complete,509612032,509628416,470421504
pleia,6,0,42,xgboost,xgboost.sklearn.XGBRegressor,pilot,0.758970369165909,0.9858096215899382,29710,9904,9907,4.982808100000057,1.3295131999999512,0.10940660000005664,0.10729560000004312,256,92333.70240714455,0,,complete,509689856,627662848,655802368
pleia,6,0,42,attention_lstm,src.attention_lstm.AttentionLSTM,pilot,1.246394193931727,1.5676521183221808,29710,9904,9907,164.95222739999997,51.45261340000002,0.388137699999902,0.4450994000000037,256,22257.949572612135,1,11.0,complete,621244416,670683136,708542464
