timestamp,observed,point_forecast,lower,upper,interval_violation,injected_event,alert_3of5,alert_4of7
2021-10-13 12:30:00,28.8,28.386318208920432,27.35553908663428,29.08398833411677,0,0,1,0
2021-10-13 12:40:00,29.0,28.46547787043924,27.39041426646575,29.022446433637576,0,0,0,0
2021-10-13 12:50:00,29.0,28.485227238398757,27.54970317556869,29.074021549882083,0,0,0,0
2021-10-13 13:00:00,29.1,28.502152622435844,27.6164086428505,29.083076045214963,1,0,0,0
2021-10-13 13:10:00,29.0,28.5240492183078,27.68121590517722,29.10806623431968,0,0,0,0
2021-10-13 13:20:00,29.1,28.71960801815919,27.96430241894861,29.13508044766782,0,0,0,0
2021-10-13 13:30:00,29.1,28.57919144847351,28.000140226558543,29.098573689646734,1,0,0,0
2021-10-13 13:40:00,29.1,28.709282935736702,28.002337467968943,29.07476024079491,1,0,1,0
2021-10-13 13:50:00,29.2,28.869981505899396,28.013763766554227,29.075483706854783,1,0,1,1
2021-10-13 14:00:00,29.2,28.88121016026879,28.002663713260542,29.115432253311123,1,0,1,1
2021-10-13 14:10:00,29.3,28.927932361261536,28.06648333874417,29.163540432101023,1,0,1,1
2021-10-13 14:20:00,29.3,28.93404267426085,28.06626236615758,29.244994989977936,1,0,1,1
2021-10-13 14:30:00,28.4,28.912901441862985,28.07213976556864,29.28618286488796,0,0,1,1
2021-10-13 14:40:00,27.9,28.63079962677551,27.81731405273302,29.3237346677474,0,0,1,1
2021-10-13 14:50:00,28.2,28.10566306939637,26.544446559769675,28.827662065584708,0,0,0,1
2021-10-13 15:00:00,27.7,27.79770001859229,26.654034491383463,28.741279024811643,0,0,0,0
2021-10-13 15:10:00,28.1,27.810921199968643,26.413491650436487,28.651040296066466,0,0,0,0
2021-10-13 15:20:00,27.3,27.333122245331623,26.76210459949728,28.27324972746104,0,0,0,0
2021-10-13 15:30:00,27.5,27.65320748140809,26.36955970095134,28.53713245442407,0,0,0,0
2021-10-13 15:40:00,27.5,26.96906100964758,26.34764449872531,27.9231715079604,0,0,0,0
2021-10-13 15:50:00,27.3,26.984328072650765,26.154526263888965,27.87969133667978,0,0,0,0
