role,n,maximum_prediction_difference,owner_sha256
calibration,4242,0.0,55c58d79f38301cdd44baeb628336927976135679d898637f996bf028372707d
test,8282,0.0,55c58d79f38301cdd44baeb628336927976135679d898637f996bf028372707d
