role,n,maximum_prediction_difference,owner_sha256
calibration,4953,0.0,7f730200efaecc00906fd2d190606876df36d1bcdec15ac2c967ec773fc326a3
test,9907,0.0,7f730200efaecc00906fd2d190606876df36d1bcdec15ac2c967ec773fc326a3
