model,role,n,max_absolute_difference,atol,rtol,fits,verified
persistence,calibration,9907,0.0,1e-07,1e-07,0,True
persistence,test,9909,0.0,1e-07,1e-07,0,True
xgboost,calibration,9907,0.0,1e-07,1e-07,0,True
xgboost,test,9909,0.0,1e-07,1e-07,0,True
attention_lstm,calibration,9907,0.0,1e-07,1e-07,0,True
attention_lstm,test,9909,0.0,1e-07,1e-07,0,True
