model,mae,rmse,n,negative_predictions,verified
persistence,0.14425096503178927,3.4973458927613192,9909,0,True
xgboost,0.10136274642733323,2.474090309353983,9909,0,True
attention_lstm,0.10133807272401704,2.475524998093707,9909,0,True
