model,nominal_level,n_calibration,n_evaluation,rank,q,coverage,mpiw,winkler,negative_lower_bounds,verified
persistence,0.9,9907,9909,8918,0.5078125,0.9570087798970632,1.015625,2.194871770612574,6965,True
persistence,0.95,9907,9909,9413,0.6171875,0.9754768392370572,1.234375,3.452844320819455,8229,True
xgboost,0.9,9907,9909,8918,0.3525996506214142,0.9597335755373902,0.7051993012428284,1.3825880121524283,4832,True
xgboost,0.95,9907,9909,9413,0.4630953073501587,0.9789080633767282,0.9261906147003174,2.149957266467672,5124,True
attention_lstm,0.9,9907,9909,8918,0.3617415428161621,0.9616510243213241,0.7234830856323242,1.383633936681015,4835,True
attention_lstm,0.95,9907,9909,9413,0.48791879415512085,0.9819356140882026,0.9758375883102417,2.1609889997316176,6064,True
